outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_suicide_rate,ra,broad,minimal,0.18968207162383183,0.10075958545420372,1.8825213578319486,0.008521264659306138,0.13125514607475416,0.06492137576421571,26,16
firearm_suicide_rate,ra,strict,expanded,-0.22129761824314284,0.15466327275167902,-1.4308349636338629,-0.8760118821871024,0.3168482987463177,-2.76476751067701,26,16
firearm_suicide_rate,ra,strict,headline,-0.554143248281322,0.14977767070864811,-3.6997721066129916,-0.8790121300795549,0.30901893561491406,-2.8445251367215296,26,16
firearm_suicide_rate,ra,strict,minimal,0.2783271894814827,0.11916121710842152,2.335719592627528,0.22822548218251365,0.1691724005417398,1.3490704243225757,26,16
homicide_rate,or,broad,all,-0.319145046326362,0.07624894203528415,-4.185566878799155,-0.28261011089325405,0.12362583223598338,-2.2860117969017453,26,16
homicide_rate,or,strict,all,-0.37372182457337816,0.0805536424170575,-4.639415591395298,-0.1991788337686806,0.12413040406781987,-1.6045934536703617,26,16
homicide_rate,ra,broad,expanded,-0.19857277798463593,0.09810907168913896,-2.0240001721127148,-0.04330570541176252,0.1818622116168501,-0.23812371479897979,26,16
homicide_rate,ra,broad,headline,0.021310820311169543,0.08976728454058466,0.23740074594252333,-0.32015943154933013,0.1726039327696306,-1.854879123621346,26,16
homicide_rate,ra,broad,minimal,-0.42912806961381095,0.0610268728842948,-7.031788609379109,-0.16741459162420852,0.08977872559471353,-1.8647468040475998,26,16
homicide_rate,ra,strict,expanded,-0.3531994293899095,0.10455202166634237,-3.378217118718923,0.02913317297698223,0.16686345139395886,0.1745928945710215,26,16
homicide_rate,ra,strict,headline,0.036959669337817996,0.09740114231928951,0.37945827387384173,-0.388855219176792,0.15108955971697308,-2.573673653594669,26,16
homicide_rate,ra,strict,minimal,-0.5265491611619201,0.07419394417827392,-7.09692909567825,-0.1775471576973188,0.08151519934187436,-2.1780865302517003,26,16
motor_vehicle_theft_rate,or,broad,all,-8.312251602133978,4.984132920967837,-1.6677427616677356,-51.35979272146769,4.075555250124903,-12.601913008023551,26,16
motor_vehicle_theft_rate,or,strict,all,-10.683925494684203,5.155226586182116,-2.0724453748203837,-47.3022877314787,4.675262438429706,-10.117568447636975,26,16
motor_vehicle_theft_rate,ra,broad,expanded,-54.26623276589785,6.797673278791747,-7.98305987067731,-69.74391802072729,10.971285864849552,-6.35695021348199,26,16
motor_vehicle_theft_rate,ra,broad,headline,-46.018188570139884,6.66685117645968,-6.902537247663157,-56.491089781863,11.144279694131827,-5.069066043955193,26,16
motor_vehicle_theft_rate,ra,broad,minimal,-53.41056877056821,5.208195664784335,-10.255100270465718,-49.68280458193495,4.564559978439558,-10.88446746600086,26,16
motor_vehicle_theft_rate,ra,strict,expanded,-60.680029996818874,6.0129893690302225,-10.091491315343099,-54.92853560414066,11.178153168998808,-4.913918674551535,26,16
motor_vehicle_theft_rate,ra,strict,headline,-49.16030847926738,6.412609098419529,-7.66619448102389,-48.673335727596495,11.512171914044893,-4.227988957341302,26,16
motor_vehicle_theft_rate,ra,strict,minimal,-51.110391942203925,6.18368692951487,-8.2653589233719,-39.50901169320669,5.800148723892254,-6.811723901226748,26,16
nonfirearm_suicide_rate,or,broad,all,1.4749751339192256,0.12955166779996333,11.385226905736857,1.0491716811096774,0.12421395745599188,8.446487839189823,26,16
nonfirearm_suicide_rate,or,strict,all,1.423409425869427,0.13007665926457776,10.942850423104671,1.0056318643029505,0.12519855373625316,8.032296175093549,26,16
nonfirearm_suicide_rate,ra,broad,expanded,0.790651901168028,0.1443927084267697,5.47570517779307,-0.029377238186629545,0.27959943152912065,-0.10506901972570666,26,16
nonfirearm_suicide_rate,ra,broad,headline,1.2358761522925716,0.1412734063217068,8.748116043002767,0.7852631222554491,0.278212160946724,2.8225334204776993,26,16
nonfirearm_suicide_rate,ra,broad,minimal,1.2081617692831352,0.079617530956031,15.174569655398457,1.2411932514982462,0.09689316283377956,12.809915738095123,26,16
nonfirearm_suicide_rate,ra,strict,expanded,1.4113478914301831,0.1932537395973464,7.303081918987934,0.2225700602845408,0.3944884705728233,0.564199151273938,26,16
nonfirearm_suicide_rate,ra,strict,headline,1.4304766615855535,0.1867082567301599,7.661560804206693,0.997900453623618,0.3894629247756756,2.5622476239513494,26,16
