event_time,beta,se,z,n,omitted,outcome,spec
-2,0.3855375209704316,0.5157196652595204,0.7475718824420268,1390,False,firearm_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb
0,-0.24181193709125276,0.41634881346570213,-0.5807917046247874,1390,False,firearm_suicide_rate,eb
1,-0.21261907346126988,0.44409171036837325,-0.4787728941954416,1390,False,firearm_suicide_rate,eb
2,-0.643500909544429,0.15046638554048722,-4.2767087627772975,1390,False,firearm_suicide_rate,eb
3,0.6061956073959859,0.38692650677018536,1.5666944414227872,1390,False,firearm_suicide_rate,eb
4,-1.9793632208653087,0.515431243153141,-3.8402080726744288,1390,False,firearm_suicide_rate,eb
5,0.014201880436125695,0.8425549371799804,0.016855732260805674,1390,False,firearm_suicide_rate,eb
-5,0.1396867704959028,0.21305304474165315,0.6556431552775326,1390,False,nonfirearm_suicide_rate,unweighted
-4,0.30906198707011656,0.374804915985355,0.8245942726167251,1390,False,nonfirearm_suicide_rate,unweighted
-3,-0.35042488215203726,0.28549979217360094,-1.2274085367423244,1390,False,nonfirearm_suicide_rate,unweighted
-2,-0.3010970062212501,0.3025594922700657,-0.9951662860158749,1390,False,nonfirearm_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted
0,0.14356068871388014,0.31679440060776276,0.45316674928111816,1390,False,nonfirearm_suicide_rate,unweighted
1,-0.1937352864796094,0.2626578673571124,-0.7375955969984515,1390,False,nonfirearm_suicide_rate,unweighted
2,-0.4072850128333314,0.2182358770059841,-1.8662605728303945,1390,False,nonfirearm_suicide_rate,unweighted
3,0.7794252551923794,0.6046735345301242,1.2890017681988515,1390,False,nonfirearm_suicide_rate,unweighted
4,0.07422425729550466,0.20680619364515887,0.3589073227799925,1390,False,nonfirearm_suicide_rate,unweighted
5,0.3372057782222515,0.12755514661108724,2.643607782055116,1390,False,nonfirearm_suicide_rate,unweighted
-5,0.16486968693119472,0.22442235330018073,0.7346402196873405,1390,False,nonfirearm_suicide_rate,ra
-4,0.3177299974397407,0.3785350124890389,0.8393675273273197,1390,False,nonfirearm_suicide_rate,ra
-3,-0.31778861581744605,0.29369116302184484,-1.0820503162153667,1390,False,nonfirearm_suicide_rate,ra
-2,-0.2522560902005422,0.28760714930485803,-0.8770856037836375,1390,False,nonfirearm_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,ra
0,0.11431166978056118,0.30496001918320276,0.37484149590077637,1390,False,nonfirearm_suicide_rate,ra
1,-0.20209208737905401,0.2915588503350969,-0.6931433813337644,1390,False,nonfirearm_suicide_rate,ra
2,-0.41368800957043367,0.1938074603094476,-2.1345308839500206,1390,False,nonfirearm_suicide_rate,ra
3,0.718167726097904,0.5831847702998945,1.2314583004775597,1390,False,nonfirearm_suicide_rate,ra
4,0.02495914826186297,0.18427255813049764,0.13544690818362368,1390,False,nonfirearm_suicide_rate,ra
5,0.31644976646351974,0.20751838522358662,1.524924001902613,1390,False,nonfirearm_suicide_rate,ra
-5,0.55009892736105,0.28043785793158227,1.9615715631919293,1390,False,nonfirearm_suicide_rate,eb
-4,0.4346464074141029,0.313312799845434,1.3872602958721323,1390,False,nonfirearm_suicide_rate,eb
-3,-0.6813899814314235,0.4199145348530354,-1.6226872967612351,1390,False,nonfirearm_suicide_rate,eb
-2,-0.5481845644436039,0.37820257339877444,-1.4494469445759204,1390,False,nonfirearm_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb
