outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,ra,strict,1,0.5833604724784485,4.676982344818528,7,1917,23
county_burglary_rate,ra,strict,2,-8.495024181711809,5.653275455146141,6,1690,20
county_burglary_rate,ra,strict,3,-18.940644549896227,6.27901415643401,5,1351,17
county_burglary_rate,ra,strict,4,-18.713402684630342,13.148702709726383,4,743,11
county_burglary_rate,ra,strict,5,-8.433623524432543,11.506781953980697,4,743,11
county_motor_vehicle_theft_rate,or,broad,-5,-5.758026920650757,5.521759825631025,8,2027,25
county_motor_vehicle_theft_rate,or,broad,-4,-7.745967022601652,7.208904467201706,8,2027,25
county_motor_vehicle_theft_rate,or,broad,-3,-5.605748317367658,5.947589953151693,8,2027,25
county_motor_vehicle_theft_rate,or,broad,-2,-6.176687911330495,4.864445248458385,8,2027,25
county_motor_vehicle_theft_rate,or,broad,0,-3.220869036909806,6.209990303316848,8,2027,25
county_motor_vehicle_theft_rate,or,broad,1,-5.224040523111482,4.96037437950474,7,1917,23
county_motor_vehicle_theft_rate,or,broad,2,-10.635388292210466,6.046001459153074,6,1690,20
county_motor_vehicle_theft_rate,or,broad,3,-8.807439280795506,7.353279980803465,5,1351,17
county_motor_vehicle_theft_rate,or,broad,4,1.0181876498736555,8.854279492036973,4,743,11
county_motor_vehicle_theft_rate,or,broad,5,-2.303525585366919,8.924253003380997,4,743,11
county_motor_vehicle_theft_rate,or,strict,-5,3.5396155695543925,5.1408924719837135,8,2027,25
county_motor_vehicle_theft_rate,or,strict,-4,-0.46763734139845425,7.800819646029811,8,2027,25
county_motor_vehicle_theft_rate,or,strict,-3,0.10388904801022525,5.874528974116522,8,2027,25
county_motor_vehicle_theft_rate,or,strict,-2,-4.047724709103859,5.436039272714519,8,2027,25
county_motor_vehicle_theft_rate,or,strict,0,-7.0767630140909645,6.394464492128033,8,2027,25
county_motor_vehicle_theft_rate,or,strict,1,-2.8683636664185412,5.121011980947455,7,1917,23
county_motor_vehicle_theft_rate,or,strict,2,-9.77429323505477,5.816860812354934,6,1690,20
county_motor_vehicle_theft_rate,or,strict,3,-11.462859657655454,7.766014932933452,5,1351,17
county_motor_vehicle_theft_rate,or,strict,4,-7.500435445517478,9.192755547622705,4,743,11
county_motor_vehicle_theft_rate,or,strict,5,-12.488874088710265,9.832371867334977,4,743,11
county_motor_vehicle_theft_rate,ra,broad,-5,-2.9050291848473733,3.6104151916597864,8,2027,25
county_motor_vehicle_theft_rate,ra,broad,-4,-10.526281486101324,7.533278626414782,8,2027,25
county_motor_vehicle_theft_rate,ra,broad,-3,-4.81716402425502,3.7186683624341095,8,2027,25
county_motor_vehicle_theft_rate,ra,broad,-2,-10.203160450934309,4.397658115342197,8,2027,25
county_motor_vehicle_theft_rate,ra,broad,0,-12.486328838053883,5.946580560608777,8,2027,25
county_motor_vehicle_theft_rate,ra,broad,1,-1.2307146214793352,2.7371740772171047,7,1917,23
county_motor_vehicle_theft_rate,ra,broad,2,-7.449144701432358,3.4169747838228233,6,1690,20
county_motor_vehicle_theft_rate,ra,broad,3,-7.624474779247642,3.9191561222855626,5,1351,17
county_motor_vehicle_theft_rate,ra,broad,4,-4.966331756318807,5.024577634191653,4,743,11
county_motor_vehicle_theft_rate,ra,broad,5,-3.6228859886819413,4.42058796083498,4,743,11
county_motor_vehicle_theft_rate,ra,strict,-5,0.44397853251285113,3.5284726844203638,8,2027,25
county_motor_vehicle_theft_rate,ra,strict,-4,-9.008906289365985,8.629000536482458,8,2027,25
county_motor_vehicle_theft_rate,ra,strict,-3,-5.802338508696842,3.990486602373759,8,2027,25
county_motor_vehicle_theft_rate,ra,strict,-2,-10.616448254442815,5.702265363476951,8,2027,25
county_motor_vehicle_theft_rate,ra,strict,0,-18.7438374831782,7.363970543127049,8,2027,25
county_motor_vehicle_theft_rate,ra,strict,1,-3.7482881096772402,2.897028383984822,7,1917,23
county_motor_vehicle_theft_rate,ra,strict,2,-8.937925651525228,3.8766103124222124,6,1690,20
county_motor_vehicle_theft_rate,ra,strict,3,-11.399571286111417,3.537905598743146,5,1351,17
county_motor_vehicle_theft_rate,ra,strict,4,-7.039127697219406,5.315035788079514,4,743,11
county_motor_vehicle_theft_rate,ra,strict,5,-8.459335242626402,5.288953400140043,4,743,11
county_murder_rate,or,broad,-5,-0.41798464818442144,0.6331160613793871,8,2027,25
county_murder_rate,or,broad,-4,-0.7358221431419574,1.0448472774614492,8,2027,25
county_murder_rate,or,broad,-3,0.16822118259237331,0.25638801788614546,8,2027,25
county_murder_rate,or,broad,-2,-0.49698107636134725,0.4833834309103252,8,2027,25
county_murder_rate,or,broad,0,-0.3256219724861541,0.3459787735045242,8,2027,25
county_murder_rate,or,broad,1,-0.409116204228287,0.2594000455970328,7,1917,23
county_murder_rate,or,broad,2,-0.25213797049800146,0.4735416800305946,6,1690,20
county_murder_rate,or,broad,3,0.09040691051423072,0.32995987632747026,5,1351,17
county_murder_rate,or,broad,4,0.39830170111012825,0.38576798732829715,4,743,11
county_murder_rate,or,broad,5,0.764364440613255,0.369565371810488,4,743,11
county_murder_rate,or,strict,-5,-0.40141790295992824,0.7795636383565028,8,2027,25
county_murder_rate,or,strict,-4,-0.8370316538488206,1.3215858137251453,8,2027,25
county_murder_rate,or,strict,-3,0.2846182686525522,0.27333485472323826,8,2027,25
county_murder_rate,or,strict,-2,-0.5359054299034325,0.5868088787711877,8,2027,25
county_murder_rate,or,strict,0,-0.09932935289667158,0.2117256199984248,8,2027,25
county_murder_rate,or,strict,1,-0.23678786491890066,0.21197416128284002,7,1917,23
county_murder_rate,or,strict,2,0.1438322785307402,0.28124916263524513,6,1690,20
county_murder_rate,or,strict,3,-0.0427498118831961,0.35440306111497566,5,1351,17
county_murder_rate,or,strict,4,0.1798408167171536,0.40799221033694594,4,743,11
county_murder_rate,or,strict,5,0.45949782957913987,0.4051831715056951,4,743,11
county_murder_rate,ra,broad,-5,-0.39306072618380017,0.47739989964471063,8,2027,25
county_murder_rate,ra,broad,-4,-1.3724084432296557,0.941985152991312,8,2027,25
county_murder_rate,ra,broad,-3,0.26617652135033903,0.16437712019292175,8,2027,25
county_murder_rate,ra,broad,-2,-1.1984177372857947,0.5638222532515946,8,2027,25
county_murder_rate,ra,broad,0,-0.8164743229759557,0.3619873658740754,8,2027,25
county_murder_rate,ra,broad,1,-0.8731268188891698,0.31421512437774757,7,1917,23
county_murder_rate,ra,broad,2,-0.5076211993402251,0.29467690349943376,6,1690,20
county_murder_rate,ra,broad,3,-0.0023262629587094685,0.17100743862948678,5,1351,17
county_murder_rate,ra,broad,4,0.5949261486697157,0.17370431380010198,4,743,11
