event_time,beta,se,z,n,omitted,outcome,spec,tier
-2,-0.27687530315549125,0.2727288788953405,-1.0152034660830398,1014,False,firearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,expanded
0,0.27925233703151026,0.14731754907484076,1.8955809323819495,1014,False,firearm_suicide_rate,eb,expanded
1,0.5493669335314525,0.16389447525287953,3.3519551692258793,1014,False,firearm_suicide_rate,eb,expanded
2,-0.7179522959598468,0.09978878960108353,-7.194718954202558,1014,False,firearm_suicide_rate,eb,expanded
3,-0.838509510744225,0.10026603707218762,-8.36284683457202,1014,False,firearm_suicide_rate,eb,expanded
4,-1.0942757723720793,0.1703310345170216,-6.424406306665891,1014,False,firearm_suicide_rate,eb,expanded
5,-1.1210152549277534,0.13927167083477798,-8.049126202109303,1014,False,firearm_suicide_rate,eb,expanded
-5,0.026124089763560437,0.15383161539191192,0.16982263169378364,1014,False,nonfirearm_suicide_rate,unweighted,all
-4,-0.07795840409783177,0.32494569967382236,-0.2399120966244075,1014,False,nonfirearm_suicide_rate,unweighted,all
-3,0.05255769292705497,0.08407136148105394,0.6251557248647532,1014,False,nonfirearm_suicide_rate,unweighted,all
-2,0.27175290063293245,0.24790177995094206,1.0962119783355744,1014,False,nonfirearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted,all
0,0.008405962917960214,0.27423827004031937,0.03065204180555961,1014,False,nonfirearm_suicide_rate,unweighted,all
1,0.3906842451113931,0.3500740571551272,1.1160045628238897,1014,False,nonfirearm_suicide_rate,unweighted,all
2,-0.8356704092982113,0.11586048299445308,-7.212730239854255,1014,False,nonfirearm_suicide_rate,unweighted,all
3,-0.2621417879141778,0.10372328963295264,-2.527318491746872,1014,False,nonfirearm_suicide_rate,unweighted,all
4,-0.4530538327744392,0.11684529748304509,-3.877381824802833,1014,False,nonfirearm_suicide_rate,unweighted,all
5,0.22088348137062977,0.12753310606601842,1.73196974639893,1014,False,nonfirearm_suicide_rate,unweighted,all
