outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,ra,strict,2,-19.370158683596717,3.017654120622207,7,266,8
county_burglary_rate,ra,strict,3,-1.2061510503408979,2.6974029466584075,7,266,8
county_burglary_rate,ra,strict,4,-6.167518007457804,3.8632892444771243,6,242,7
county_burglary_rate,ra,strict,5,-23.879912187837302,6.284299656138408,5,160,6
county_motor_vehicle_theft_rate,or,broad,-5,-9.223218010996348,2.0922443119323515,7,317,8
county_motor_vehicle_theft_rate,or,broad,-4,99.01201724102025,2.0697456895823034,7,317,8
county_motor_vehicle_theft_rate,or,broad,-3,-2.3022093911609005,1.9161627265543688,7,317,8
county_motor_vehicle_theft_rate,or,broad,-2,2.0849733914041524,1.7948178670669812,7,317,8
county_motor_vehicle_theft_rate,or,broad,0,-7.466710993514615,1.416123794246933,7,317,8
county_motor_vehicle_theft_rate,or,broad,1,-0.38946383305314236,3.273507573966005,7,317,8
county_motor_vehicle_theft_rate,or,broad,2,18.377086593626963,2.2964916123913977,7,317,8
county_motor_vehicle_theft_rate,or,broad,3,22.666040357145896,3.096542785461276,7,317,8
county_motor_vehicle_theft_rate,or,broad,4,6.418166534632043,2.790561070301991,6,293,7
county_motor_vehicle_theft_rate,or,broad,5,6.6264909465149495,3.3127080375159967,5,160,6
county_motor_vehicle_theft_rate,or,strict,-5,-8.60404196136773,2.068439625490427,7,317,8
county_motor_vehicle_theft_rate,or,strict,-4,99.56885234094716,1.9491086334349226,7,317,8
county_motor_vehicle_theft_rate,or,strict,-3,-1.7066341793548188,1.8625335203141464,7,317,8
county_motor_vehicle_theft_rate,or,strict,-2,2.454442958057502,1.802272224249912,7,317,8
county_motor_vehicle_theft_rate,or,strict,0,-8.001009591907513,1.3592308362458132,7,317,8
county_motor_vehicle_theft_rate,or,strict,1,-2.8400660272850047,2.4313148410532057,7,317,8
county_motor_vehicle_theft_rate,or,strict,2,17.206922514549355,2.1720317687538278,7,317,8
county_motor_vehicle_theft_rate,or,strict,3,21.308138193819573,3.0059719085484202,7,317,8
county_motor_vehicle_theft_rate,or,strict,4,4.805642952836631,2.65771072317663,6,293,7
county_motor_vehicle_theft_rate,or,strict,5,5.067104818553142,3.2360353462083973,5,160,6
county_motor_vehicle_theft_rate,ra,broad,-5,-11.752107248779335,1.2807723249343779,7,266,8
county_motor_vehicle_theft_rate,ra,broad,-4,118.3533682024288,1.1727352098515555,7,266,8
county_motor_vehicle_theft_rate,ra,broad,-3,-3.4295889605199843,1.0903594977949023,7,266,8
county_motor_vehicle_theft_rate,ra,broad,-2,3.284990340161423,1.0829410256808825,7,266,8
county_motor_vehicle_theft_rate,ra,broad,0,-3.83733904569643,1.2344335813277258,7,266,8
county_motor_vehicle_theft_rate,ra,broad,1,-2.71703317809725,1.7745308150699681,7,266,8
county_motor_vehicle_theft_rate,ra,broad,2,13.62536341215891,1.7789202422408823,7,266,8
county_motor_vehicle_theft_rate,ra,broad,3,19.951585561167434,2.187629133000026,7,266,8
county_motor_vehicle_theft_rate,ra,broad,4,-0.04110472358876649,1.9345774448506075,6,242,7
county_motor_vehicle_theft_rate,ra,broad,5,4.265834553517173,2.343781737845419,5,160,6
county_motor_vehicle_theft_rate,ra,strict,-5,-11.540992102188701,1.204224854350155,7,266,8
county_motor_vehicle_theft_rate,ra,strict,-4,118.45739962689113,1.185747291005122,7,266,8
county_motor_vehicle_theft_rate,ra,strict,-3,-2.916717003202246,1.0815117979471311,7,266,8
county_motor_vehicle_theft_rate,ra,strict,-2,3.855233982822816,1.098313088621966,7,266,8
county_motor_vehicle_theft_rate,ra,strict,0,-5.690273074867674,1.0428210747026574,7,266,8
county_motor_vehicle_theft_rate,ra,strict,1,-4.877935329406163,1.6592015608485182,7,266,8
county_motor_vehicle_theft_rate,ra,strict,2,11.251021735329594,1.5902172047703618,7,266,8
county_motor_vehicle_theft_rate,ra,strict,3,16.172782872926224,2.1465071817540595,7,266,8
county_motor_vehicle_theft_rate,ra,strict,4,-2.8069809350103014,2.0779940099946277,6,242,7
county_motor_vehicle_theft_rate,ra,strict,5,0.6981419761782193,2.4887548124892014,5,160,6
county_murder_rate,or,broad,-5,-0.46287990190755257,0.16854715706796303,7,317,8
county_murder_rate,or,broad,-4,-0.63091430883223,0.20546343864877215,7,317,8
county_murder_rate,or,broad,-3,-0.9016670092350754,0.5808863274884424,7,317,8
county_murder_rate,or,broad,-2,-0.24284728825562715,0.21904294514141484,7,317,8
county_murder_rate,or,broad,0,-0.17700148040433708,0.1938840516281549,7,317,8
county_murder_rate,or,broad,1,-0.676049026416995,0.21375091302257115,7,317,8
county_murder_rate,or,broad,2,0.1943404277355543,0.2487708141095901,7,317,8
county_murder_rate,or,broad,3,-0.13039187922822443,0.254558120860734,7,317,8
county_murder_rate,or,broad,4,-0.8856689392127581,0.2028581511744675,6,293,7
county_murder_rate,or,broad,5,-0.4113790710857133,0.32379448264385985,5,160,6
county_murder_rate,or,strict,-5,-0.4607767891512419,0.17006626617449966,7,317,8
county_murder_rate,or,strict,-4,-0.6254404724226293,0.20728526849566725,7,317,8
county_murder_rate,or,strict,-3,-0.9086517188381477,0.6008241189244126,7,317,8
county_murder_rate,or,strict,-2,-0.24170887647485584,0.22634352984588982,7,317,8
county_murder_rate,or,strict,0,-0.18536787067880464,0.19960320217900596,7,317,8
county_murder_rate,or,strict,1,-0.7167185465164126,0.21572353092194996,7,317,8
county_murder_rate,or,strict,2,0.16690650161527834,0.2539828140554999,7,317,8
county_murder_rate,or,strict,3,-0.15759371657731305,0.25916201272883993,7,317,8
county_murder_rate,or,strict,4,-0.9060041652243905,0.2068754677229166,6,293,7
county_murder_rate,or,strict,5,-0.42822703633629955,0.3289121044311023,5,160,6
county_murder_rate,ra,broad,-5,-0.7865335592814594,0.13034033054002742,7,266,8
county_murder_rate,ra,broad,-4,-0.9825588960946314,0.15608087971414542,7,266,8
county_murder_rate,ra,broad,-3,-0.8087900111421344,0.13484422947729766,7,266,8
