year	state	division	total_population	fss	homicide_rate	firearm_homicide_rate	nonfirearm_homicide_rate	firearm_suicides	total_suicides	firearm_homicides	nonfirearm_homicides	total_homicides	nextyearfss
2006	"Kansas"	"West North Central"	2764075	0.556728232	4.124345396	2.641028192	1.483317204	211	379	73	41	114	0.557591623
2006	"Kentucky"	"East South Central"	4206074	0.615755627	4.564826962	2.639040587	1.925786375	383	622	111	81	192	0.650231125
2006	"Louisiana"	"West South Central"	4287768	0.672764228	12.92047517	10.33171571	2.588759466	331	492	443	111	554	0.641762452
2006	"Maine"	"New England"	1321574	0.550632911	1.513346964	1.135010223	0.378336741	87	158	15	5	20	0.471204188
2006	"Maryland"	"South Atlantic"	5615727	0.481781377	10.11445179	7.407767507	2.706684281	238	494	416	152	568	0.44980695
2006	"Massachusetts"	"New England"	6437193	0.224444444	2.84285402	1.631145749	1.211708271	101	450	105	78	183	0.220930233
2006	"Michigan"	"East North Central"	10095643	0.527336861	7.151599953	5.309221017	1.842378935	598	1134	536	186	722	0.4933687
2006	"Minnesota"	"West North Central"	5167101	0.438628159	2.477211109	1.50955052	0.96766059	243	554	78	50	128	0.469026549
2006	"Mississippi"	"East South Central"	2910540	0.673846154	10.92580758	7.627450576	3.298357006	219	325	222	96	318	0.704545455
2006	"Missouri"	"West North Central"	5842713	0.555694618	7.051518704	5.049024315	2.002494389	444	799	295	117	412	0.559405941
2006	"Montana"	"Mountain"	944632	0.53968254	3.705146554	1.164474631	2.540671923	102	189	11	24	35	0.612244898
2006	"Nebraska"	"West North Central"	1768331	0.51980198	3.110277431	1.753065461	1.35721197	105	202	31	24	55	0.491712707
2006	"Nevada"	"Mountain"	2495529	0.529045643	8.775694452	5.249388006	3.526306446	255	482	131	88	219	0.575692964
2006	"New Hampshire"	"New England"	1314895	0.456953642	1.521033999	0.912620399	0.6084136	69	151	12	8	20	0.449367089
2006	"New Jersey"	"Middle Atlantic"	8724560	0.296232877	5.146391337	3.450030718	1.696360619	173	584	301	148	449	0.276845638
2006	"New Mexico"	"Mountain"	1954599	0.548295455	6.90678753	3.734781405	3.172006125	193	352	73	62	135	0.471321696
2006	"New York"	"Middle Atlantic"	19306183	0.311884936	4.982859636	2.95242203	2.030437606	412	1321	570	392	962	0.316582915
2006	"North Carolina"	"South Atlantic"	8856505	0.596745027	7.023086421	4.956808583	2.066277838	660	1106	439	183	622	0.565176909
2006	"North Dakota"	"West North Central"	635867	0.455555556	1.729921509	0.157265592	1.572655917	41	90	1	10	11	0.515789474
2006	"Ohio"	"East North Central"	11478006	0.47245283	5.802401567	3.929253914	1.873147653	626	1325	451	215	666	0.508880309
2006	"Oklahoma"	"West South Central"	3579212	0.588014981	6.314239	4.246744814	2.067494186	314	534	152	74	226	0.601145038
