outcome,spec,g_cohort,t_year,event_time,n_treated,n_control,att,se
firearm_homicide_rate,or,2016,2013,-3,2,21,0.03517003911904759,0.1565714410819888
firearm_homicide_rate,or,2016,2014,-2,2,21,0.8111771402619046,0.2271473231553857
firearm_homicide_rate,or,2016,2016,0,2,21,0.2663770270238096,0.7097346633172372
firearm_homicide_rate,or,2016,2017,1,2,21,0.47040640323809524,0.32308300098510007
firearm_homicide_rate,or,2016,2018,2,2,21,0.5425043790714286,0.2382007789857128
firearm_homicide_rate,or,2016,2019,3,2,21,0.4621005212380952,0.6771531466851116
firearm_homicide_rate,or,2016,2020,4,2,21,-0.20808270123809547,0.7734009539225021
firearm_homicide_rate,or,2016,2021,5,2,21,-0.8997975641904761,0.7486721839211653
firearm_homicide_rate,or,2016,2022,6,2,21,-0.31200899276190475,0.5466776312032671
firearm_homicide_rate,or,2016,2023,7,2,21,-0.5043182784761902,0.3529782612223093
firearm_homicide_rate,or,2017,1999,-18,3,21,-0.9252348557619048,0.8674956867516684
firearm_homicide_rate,or,2017,2000,-17,3,20,-0.8171533552833334,0.7351307151296208
firearm_homicide_rate,or,2017,2001,-16,3,21,-0.6442176490952382,0.7503542341806277
firearm_homicide_rate,or,2017,2002,-15,3,21,-1.184015424952381,0.7721368949658384
firearm_homicide_rate,or,2017,2003,-14,3,21,-0.7729766936190479,1.1369621978096962
firearm_homicide_rate,or,2017,2004,-13,3,21,-0.770033015904762,0.8800005771731829
firearm_homicide_rate,or,2017,2005,-12,3,21,-0.9531668707619049,0.6672699224726534
firearm_homicide_rate,or,2017,2006,-11,3,21,-0.9648921735714288,0.7187575209973823
firearm_homicide_rate,or,2017,2007,-10,3,21,-0.9050006616666669,0.7919576720763549
firearm_homicide_rate,or,2017,2008,-9,3,21,-0.6489561647619048,0.4143144710076043
firearm_homicide_rate,or,2017,2009,-8,3,21,-0.41240778014285717,0.5705139074141585
firearm_homicide_rate,or,2017,2010,-7,3,21,-0.07961386814285709,0.6030074144534534
firearm_homicide_rate,or,2017,2011,-6,3,21,-0.036875183857142946,0.7494410763357459
firearm_homicide_rate,or,2017,2012,-5,3,21,-0.1481594095714288,0.7746475966798522
firearm_homicide_rate,or,2017,2013,-4,3,21,-0.33377647957142864,0.7188837574972812
firearm_homicide_rate,or,2017,2014,-3,3,21,0.0014703685714282377,0.5842044368709943
firearm_homicide_rate,or,2017,2015,-2,3,21,0.43568439847619034,0.18078404310217994
firearm_homicide_rate,or,2017,2017,0,3,21,0.5918352307142853,0.47809941645235776
firearm_homicide_rate,or,2017,2018,1,3,21,0.9022747783809524,0.2950166340630094
firearm_homicide_rate,or,2017,2019,2,3,21,0.8384230543809521,0.33038488533090443
firearm_homicide_rate,or,2017,2020,3,3,21,0.3869215555714285,0.8880371683307214
