event_time,beta,se,z,n,omitted,outcome,spec
1,0.004452228415255286,0.49847910131367323,0.00893162502404223,1254,False,total_suicide_rate,eb
2,1.192087274533948,1.377696407101578,0.8652757373751755,1254,False,total_suicide_rate,eb
3,-0.3117804831586055,0.7672073647999205,-0.40638358996972684,1254,False,total_suicide_rate,eb
4,-0.8034968672212098,0.8692744114024522,-0.9243305182823459,1254,False,total_suicide_rate,eb
5,-0.05115682972249991,0.5082246742464237,-0.1006579025277616,1254,False,total_suicide_rate,eb
-5,0.680079935068685,0.2133127590534158,3.188182170098816,1250,False,firearm_homicide_rate,unweighted
-4,0.3953432191999827,0.34865740961601654,1.1339016705119853,1250,False,firearm_homicide_rate,unweighted
-3,0.031099381391642218,0.276282376684209,0.11256375366709993,1250,False,firearm_homicide_rate,unweighted
-2,-0.2919631464057385,0.21141556779631604,-1.3809917095936113,1250,False,firearm_homicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,unweighted
0,0.07223563463255545,0.13580950913480508,0.5318893727894566,1250,False,firearm_homicide_rate,unweighted
1,0.04413371966072581,0.3530862830698293,0.12499414952349637,1250,False,firearm_homicide_rate,unweighted
2,-0.5747810050475692,0.431987042500887,-1.3305514946004176,1250,False,firearm_homicide_rate,unweighted
3,-0.3929547775697968,0.35505403207475755,-1.106746416238583,1250,False,firearm_homicide_rate,unweighted
4,-0.14317660219665182,0.3540906078876252,-0.40435018327876854,1250,False,firearm_homicide_rate,unweighted
5,-0.49611696190046717,0.2972810490942696,-1.668848261306914,1250,False,firearm_homicide_rate,unweighted
-5,0.5455810683714238,0.19137355876443357,2.850869638908649,1250,False,firearm_homicide_rate,ra
-4,0.28067697862903573,0.3876350296811951,0.7240753728058955,1250,False,firearm_homicide_rate,ra
-3,-0.02771644962026469,0.27661984724535565,-0.10019689438871252,1250,False,firearm_homicide_rate,ra
-2,-0.35405295212891774,0.2133592346692166,-1.6594217385426362,1250,False,firearm_homicide_rate,ra
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,ra
0,0.08630762861644696,0.11842961048405609,0.7287673096591528,1250,False,firearm_homicide_rate,ra
1,0.03767555245188456,0.3297142477957523,0.11426728660880736,1250,False,firearm_homicide_rate,ra
2,-0.4747881018761216,0.3860650839739733,-1.2298136288028823,1250,False,firearm_homicide_rate,ra
3,-0.3121350642732459,0.3749471807608387,-0.8324774269268136,1250,False,firearm_homicide_rate,ra
4,0.002504865257237797,0.30286469689909123,0.008270575220169588,1250,False,firearm_homicide_rate,ra
5,-0.321129995176308,0.34278817828167535,-0.9368175903441734,1250,False,firearm_homicide_rate,ra
-5,0.23593527867256947,0.19625545934372118,1.2021845377526705,1250,False,firearm_homicide_rate,eb
-4,0.011892802313403238,0.4041804199545119,0.02942448898128638,1250,False,firearm_homicide_rate,eb
-3,0.15304402719559726,0.22488003101158446,0.6805585471824902,1250,False,firearm_homicide_rate,eb
-2,-0.13112891705690108,0.18353619303525917,-0.7144580852873519,1250,False,firearm_homicide_rate,eb
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,eb
0,-0.04580931578721574,0.21348439686927212,-0.21457922199001375,1250,False,firearm_homicide_rate,eb
1,0.05629268633279396,0.3395160925963718,0.1658027043793668,1250,False,firearm_homicide_rate,eb
2,-0.3254613647675724,0.41931775187390224,-0.776168820215953,1250,False,firearm_homicide_rate,eb
3,-0.18604297599860037,0.2734494792767654,-0.680355934451429,1250,False,firearm_homicide_rate,eb
4,0.027891235101272432,0.262489977965409,0.10625638097675465,1250,False,firearm_homicide_rate,eb
5,-0.4783119895200688,0.31802148537699954,-1.504024135202854,1250,False,firearm_homicide_rate,eb
-5,0.38560014173453433,0.24136671130894233,1.5975696882283714,1254,False,homicide_rate,unweighted
-4,0.1689692874656115,0.28641703946375197,0.5899414636153157,1254,False,homicide_rate,unweighted
-3,-0.13317555376160015,0.3155007210979866,-0.42210855587946233,1254,False,homicide_rate,unweighted
-2,-0.04240822034419683,0.20349491287025018,-0.20839941277174145,1254,False,homicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,homicide_rate,unweighted
0,-0.13377558289897667,0.22187204744621622,-0.6029402281123541,1254,False,homicide_rate,unweighted
1,0.33075193792801943,0.2754407776188404,1.2008096287969372,1254,False,homicide_rate,unweighted
2,-0.3293082258576981,0.20794676030345802,-1.5836179672967086,1254,False,homicide_rate,unweighted
3,-0.733865970879511,0.5863283094088388,-1.2516297765315578,1254,False,homicide_rate,unweighted
4,0.2373377302388252,0.33892593290926043,0.700264297280453,1254,False,homicide_rate,unweighted
5,-0.22267395803957082,0.2901373570515167,-0.7674777226292611,1254,False,homicide_rate,unweighted
-5,0.3969808054837533,0.24579485345564456,1.6150899821642983,1254,False,homicide_rate,ra
