county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
36057,36,42.93271,-74.344144,50,97.43524143316019,50003
36059,36,40.716432,-73.603664,34,38.67637266712398,34017
36061,36,40.776422,-73.967437,34,8.812041196503179,34017
36063,36,43.134406,-78.851139,42,142.82278930412213,42083
36065,36,43.146277,-75.355941,42,150.98357615053982,42115
36067,36,43.067977,-76.167376,42,140.3750435946574,42015
36069,36,42.902312,-77.266946,42,121.01252779879022,42117
36071,36,41.41957,-74.239375,34,50.486212637088904,34037
36073,36,43.249285,-78.224364,42,156.67998527235744,42083
36075,36,43.392222,-76.31179,42,174.17798682003485,42015
36077,36,42.564145,-75.060236,42,101.001646510618,42115
36079,36,41.410932,-73.718558,09,37.15321876610905,09001
36081,36,40.721204,-73.834008,34,19.298600144396598,34017
36083,36,42.699563,-73.631993,25,43.304747193565966,25003
36085,36,40.589259,-74.136701,34,15.371759624637548,34039
36087,36,41.127445,-74.02214,34,23.58958877833684,34003
36089,36,44.652827,-75.147873,50,146.95432052413346,50013
36091,36,43.007918,-73.784353,50,51.79506094589757,50003
36093,36,42.809147,-73.945253,50,67.62934830954927,50003
36095,36,42.64398,-74.435708,25,101.86735130406751,25003
36097,36,42.389251,-76.869139,42,67.86545988512539,42015
36099,36,42.82851,-76.827711,42,113.30861735420557,42015
36101,36,42.264824,-77.31968,42,50.837594638412135,42117
36103,36,40.823365,-73.103278,09,47.96692795278002,09001
36105,36,41.698542,-74.698587,42,50.03254950306462,42103
36107,36,42.121424,-76.298893,42,37.15572143314734,42015
36109,36,42.459082,-76.478989,42,69.63446564449819,42015
36111,36,41.841749,-74.098362,09,76.35362330828347,09005
36113,36,43.392942,-73.711242,50,58.85216662430355,50021
36115,36,43.289043,-73.460751,50,42.65806735080051,50003
36117,36,43.143635,-77.130245,42,147.90779091560364,42117
36119,36,41.038581,-73.80547,34,25.064439799090657,34003
36121,36,42.722711,-78.209554,42,100.17759356601714,42083
36123,36,42.634707,-77.078135,42,91.82364640500886,42117
37001,37,36.071544,-79.413154,51,57.81565459540767,51590
37003,37,35.889332,-81.193451,51,84.39000230223851,51077
37005,37,36.497597,-81.10603,51,16.475524624422228,51077
37007,37,34.974145,-80.110797,45,32.777806626195655,45025
37009,37,36.41363,-81.487979,47,32.168629258606586,47091
37011,37,36.07601,-81.939525,47,35.925661820718496,47019
37013,37,35.521622,-76.961773,51,128.71585983908776,51620
37015,37,36.081687,-76.962721,51,66.46007305401876,51620
37017,37,34.60917,-78.643311,45,70.00471640223859,45033
37019,37,34.041766,-78.216619,45,72.61813159002907,45051
37021,37,35.585308,-82.551811,47,64.50510160454846,47171
37023,37,35.73127,-81.641243,45,72.31411634118851,45021
37025,37,35.395655,-80.621106,45,58.975793451727085,45091
37027,37,35.873003,-81.502542,47,71.13916755609267,47091
37029,37,36.369324,-76.197747,51,43.626133941297425,51550
37031,37,34.744126,-76.818665,51,215.4155003793434,51620
37033,37,36.399939,-79.361345,51,21.724354829827554,51590
37035,37,35.695474,-81.245331,45,77.4824808022503,45021
37037,37,35.756012,-79.208387,51,94.63284210924704,51590
37039,37,35.101433,-84.022596,13,24.95726380498234,13291
37041,37,36.117035,-76.626616,51,68.3876646907537,51620
37043,37,35.036306,-83.805739,13,10.906409532466451,13281
37045,37,35.291366,-81.515786,45,26.313801705010558,45021
37047,37,34.280555,-78.706901,45,59.560710726513996,45051
37049,37,35.069158,-77.04141,51,179.25518940219746,51620
37051,37,35.054571,-78.937283,45,81.46896885029669,45069
37053,37,36.403222,-76.016801,51,45.82403341962564,51550
37055,37,35.920369,-75.676005,51,107.15714019725148,51810
37057,37,35.857903,-80.200515,51,88.88608976220084,51141
37059,37,35.931411,-80.52037,51,83.125625815732,51141
37061,37,34.92845,-77.940295,45,142.8948592329137,45033
37063,37,35.986154,-78.901717,51,81.23736803755816,51590
37065,37,35.902358,-77.656133,51,88.42615133458075,51595
37067,37,36.104617,-80.258522,51,61.17740772602571,51141
37069,37,36.044193,-78.354026,51,71.92731031938564,51117
37071,37,35.273689,-81.150823,45,31.902260315899905,45091
37073,37,36.464578,-76.706981,51,31.474499613336864,51620
37075,37,35.332126,-83.787137,13,43.601245140011684,13281
37077,37,36.216579,-78.649713,51,60.44611353884469,51117
37079,37,35.466704,-77.665166,51,136.7217719970444,51595
37081,37,36.066734,-79.847354,51,68.51985023987541,51690
37083,37,36.36143,-77.67408,51,38.64450926644379,51595
37085,37,35.354081,-78.867419,45,108.20076990648172,45069
37087,37,35.518934,-82.943122,47,51.99039593617304,47029
37089,37,35.341636,-82.471646,45,56.718219131393276,45045
37091,37,36.352235,-77.011325,51,36.938216181637735,51620
37093,37,34.992582,-79.170107,45,60.426502198708704,45069
37095,37,35.430458,-76.205134,51,147.5227090501085,51550
37097,37,35.694772,-80.866837,45,79.2040290097787,45091
37099,37,35.332904,-83.199035,13,53.828633093641834,13241
37101,37,35.570579,-78.419098,51,124.84778671035887,51117
37103,37,35.030718,-77.354076,51,185.51654083583435,51595
37105,37,35.453843,-79.173582,45,101.4217333771093,45069
37107,37,35.260621,-77.633969,51,159.40162124430668,51595
37109,37,35.485544,-81.162521,45,55.08349417882652,45091
37111,37,35.667381,-82.019915,47,63.51750797600561,47171
37113,37,35.156852,-83.377321,13,30.935781778936843,13241
37115,37,35.839031,-82.636142,47,40.95420953961354,47171
37117,37,35.830325,-77.097262,51,95.45775861571259,51620
37119,37,35.225341,-80.819873,45,32.852536477497075,45091
37121,37,35.960065,-82.113979,47,32.99851632143248,47171
37123,37,35.340612,-79.892912,45,76.97526635993871,45025
37125,37,35.23777,-79.439212,45,69.98084491212305,45069
37127,37,35.945971,-77.925858,51,89.84342551273977,51595
37129,37,34.210212,-77.878389,45,108.73171913214836,45051
37131,37,36.44074,-77.450044,51,29.12470118421576,51595
37133,37,34.734255,-77.405266,45,176.3153406054433,45051
37135,37,35.980115,-79.082329,51,74.02603884769727,51590
37137,37,35.102112,-76.782234,51,175.89762528438808,51620
37139,37,36.294076,-76.247331,51,51.42531548003875,51550
37141,37,34.453784,-77.806662,45,128.25703384349796,45051
37143,37,36.180608,-76.422879,51,65.16135997733072,51550
37145,37,36.37201,-78.97044,51,42.04512761630168,51083
37147,37,35.576487,-77.383372,51,124.86918691430456,51595
37149,37,35.258428,-82.17688,45,36.18429449132756,45083
37151,37,35.766153,-79.829145,51,99.21030655510435,51590
37153,37,34.942668,-79.735374,45,34.37811444194003,45069
37155,37,34.677173,-79.091794,45,39.95873690349499,45033
37157,37,36.40032,-79.773426,51,32.43142419890492,51690
37159,37,35.620923,-80.522841,45,84.19672365296577,45091
37161,37,35.350767,-81.897864,45,37.603891003796996,45021
37163,37,35.036714,-78.397561,45,113.39620962666035,45033
37165,37,34.785743,-79.473966,45,24.424952103702292,45069
37167,37,35.320568,-80.251909,45,71.70931020339619,45025
37169,37,36.349476,-80.275236,51,33.916220269394074,51141
37171,37,36.431129,-80.657197,51,32.71743028634301,51035
37173,37,35.437811,-83.411997,47,49.85708668742089,47155
37175,37,35.210116,-82.743077,45,45.274887683872386,45077
37177,37,35.895302,-76.242529,51,95.73733764192777,51550
37179,37,35.01249,-80.631967,45,26.387019989576437,45057
37181,37,36.332774,-78.402975,51,40.478825021980086,51117
37183,37,35.795346,-78.679962,51,104.67381787137006,51117
37185,37,36.4113,-78.134476,51,35.119602212517194,51117
37187,37,35.863224,-76.651708,51,94.24958495475539,51620
37189,37,36.218213,-81.686035,47,29.43843934056876,47091
