state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44,homicide,homicide_rate,robbery,robbery_rate,rape,rape_rate,aggravated_assault,aggravated_assault_rate,burglary,burglary_rate,larceny,larceny_rate,motor_vehicle_theft,motor_vehicle_theft_rate,ownership_fss,firearm_suicide_rate,total_suicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,homicide_rate_kalesan,firearm_suicides,total_suicides,ownership_rand,ownership_rand_se
California,CA,2011,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,46,37636311.0,154943.0,411.6848752790889,973822.0,2587.453377138901,11.733333333333334,45508.0,63469.6147955819,17.443479860439517,11.058316563203508,57275.0,79880.94812817425,0.166,0.3974167418568093,0.0580950222797608,0.378973617104278,0.3029929137249614,0.4963509275611101,0.1497114621436356,0.2799560874693755,1792,4.755342283407626,54291,144.06935709178765,7665,20.34023359504434,91195,241.99968724071343,230075,610.5387142048045,596905,1583.9774473646369,146842,389.66739485499033,0.391391391,4.149431315662628,10.601743949736486,3.486159047,1.597159624,5.083318671,1564.0,3996.0,0.16,0.032
California,CA,2012,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,46,37944551.0,160944.0,424.1557634981634,1049465.0,2765.785790955861,10.391666666666667,47793.0,65302.63621306896,17.451636467834078,11.086787685247025,58322.0,79689.08311297905,0.17,0.3931577788047492,0.0576356760185794,0.3806372014819991,0.309144300854277,0.496042154028931,0.149192345019985,0.279014485950641,1884,4.957910654344732,56521,148.7399512177381,7837,20.623750423619782,94702,249.2165895901034,245767,646.7573395893534,635090,1671.2948394202738,168608,443.7066876898921,0.397893655,4.071876372681047,10.2335795473514,3.580307049,1.703405997,5.283713047,1549.0,3893.0,0.214,0.026
California,CA,2013,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,47,38253768.0,154739.0,404.50655736710695,1018907.0,2663.5467648572558,9.025,48074.0,64737.55043408489,17.45975262318897,11.078096689787026,60185.0,81046.50066304862,0.168,0.3886911495620415,0.0571009138930053,0.3821923148145996,0.3104013197158239,0.4956438140184788,0.1478133727136581,0.2786688546288512,1746,4.543160847695528,53640,139.57339511476985,10324,26.863455092559356,89029,231.65696856213359,232058,603.8240664344381,621557,1617.3158230304064,165292,430.0963017395701,0.390310559,4.098347718899052,10.500222513411002,3.422681227,1.50785804,4.930539267,1571.0,4025.0,0.155,0.032
California,CA,2014,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,48,38586706.0,153763.0,398.4869815008309,947193.0,2454.7132890794046,7.566666666666666,50617.0,67078.38583176675,17.468418370969253,11.11361715231677,61927.0,82066.56260552422,0.1639999999999999,0.3841781779379115,0.0567009635555126,0.3835503151206701,0.3171660321009833,0.4954344131819771,0.1460437020369449,0.2786581174763191,1700,4.382314001511279,48681,125.49142818092389,11578,29.846136182057407,91804,236.65526740867148,202669,522.4465861013468,592673,1527.8112860104086,151851,391.44633143734666,0.375415282,4.077056890664261,10.860124991946394,3.177630307,1.49474905,4.672379357,1582.0,4214.0,0.183,0.035
California,CA,2015,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,50,38904296.0,166883.0,428.957768571368,1024914.0,2634.449419159262,6.216666666666666,53816.0,71231.45941890021,17.476615239508952,11.173689845586038,64483.0,85350.41990688535,0.154,0.3794207956647557,0.0562354153606984,0.3848648209190873,0.3226223941081215,0.4953089078924059,0.1438302095014443,0.278836528576186,1861,4.772536450535648,52862,135.56465440527427,12811,32.853822927357434,99349,254.7806146288372,197404,506.24276490141807,656517,1683.6385346030693,170993,438.5117277197431,0.37413007,3.9826472050527864,10.64508717347977,3.566244707,1.509778382,5.076023089,1559.0,4167.0,0.151,0.032
California,CA,2016,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,52,39149186.0,174796.0,446.4869333426243,1002070.0,2559.6189918227165,5.516666666666667,55862.0,73014.21455279656,17.482890188358624,11.198409421076391,67715.0,88506.63310376676,0.144,0.3745451771627672,0.0558068472171314,0.3865763452888246,0.3292423453693265,0.4951136668617099,0.141374358300775,0.2797754954270226,1930,4.911381875565636,54789,139.42471584474902,13702,34.868266559067536,104375,265.60905868505864,188304,479.1880065785034,637010,1621.0359422559925,176756,449.801147563461,0.371448533,4.063692507445284,10.94012265013796,3.737577999,1.546496145,5.284074144,1595.0,4294.0,0.163,0.028
California,CA,2017,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,54,39337785.0,178597.0,454.0087857005676,987063.0,2509.198217439035,4.833333333333333,58214.0,74500.45110102085,17.48769606532379,11.21856045939658,71785.0,91868.19119604876,0.133,0.3695787739114807,0.0555024481718959,0.388203802653261,0.3364502098689121,0.4950152716667366,0.1392562432600287,0.2807268813675012,1830,4.644746795181819,56625,143.72064878533905,14724,37.37117585369241,105418,267.56279653250107,176679,448.43126722728334,642019,1629.5167719649378,168365,427.3293957217415,0.373376623,4.07217070195598,10.906335445238625,3.629543452,1.484698262,5.114241714,1610.0,4312.0,,
California,CA,2018,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,57,39437463.0,176604.0,447.80771014606086,941644.0,2387.6890863897606,4.258333333333334,60984.0,76187.2046579145,17.490226760071923,11.240948809699814,75250.0,94009.69353450192,0.128,0.3648514818929216,0.0552578263007412,0.3899552609373957,0.342004689501397,0.4948505814459357,0.1378944767188926,0.281538686844773,1739,4.406817079941131,54328,137.67312151756286,15506,39.29390778698515,105031,266.160094723,164645,417.2285210620515,621779,1575.6563065835062,155220,393.3445354505247,0.362725451,4.118103361866388,11.353224185476948,3.223193239,1.554716739,4.777909978,1629.0,4491.0,,
California,CA,2019,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,59,39437610.0,174341.0,442.0678636458954,921177.0,2335.783025391245,4.091666666666667,64219.0,78799.83962023984,17.49023048748527,11.274666240567756,80423.0,98682.93654181082,0.118,0.359984343074788,0.0550803902953866,0.3920402285880738,0.3500084936182041,0.4945842134348404,0.1367221018410667,0.2821484376135882,1690,4.285249537180372,52306,132.62974100103935,14801,37.530164733613425,105544,267.62270837406226,152551,386.81603677301945,626865,1589.5106219672034,141761,359.4563666510217,0.357529306,4.013947785220791,11.226905659041254,3.153454565,1.386912602,4.540367167,1586.0,4436.0,,
California,CA,2020,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,59,39527808.0,174026.0,440.2622073047916,842054.0,2130.282559559083,10.166666666666666,70065.0,84909.30584891392,17.492514982179593,11.349338975820595,83001.0,100585.98865004932,0.115,0.3597480418353767,0.0564153223380278,0.3946737153052994,0.3471525729301358,0.5001060676194231,0.130698509421016,0.2865855482160069,2203,5.595904377145361,44728,113.61489377256365,13449,34.162196081810244,113646,288.67551014301483,145529,369.66244580190073,528202,1341.701263648177,168323,427.56214819529674,0.374517375,3.9422803419562413,10.526294933676976,4.399503577,1.615522099,6.015025676,1552.0,4144.0,,
California,CA,2021,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,59,39152927.0,188343.0,481.0444950897285,847567.0,2164.7602489591645,7.35,76887.0,89009.87867075522,17.482985741335664,11.396502638855264,84831.0,98206.42003874305,0.123,0.3537257714204472,0.0562255948224139,0.399052565921523,0.3618678708543694,0.4996999046945442,0.1283070233133674,0.2870413065674158,2346,5.993410161221456,44649,114.06639824738994,14639,37.39877721659032,126709,323.70801710068605,134873,344.5648800828736,534827,1366.341677875357,177867,454.40319059930806,0.3797,4.023752659029882,10.59715938390854,4.75442,1.61972,6.37414,1575.0,4148.0,,
California,CA,2022,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,59,39125347.0,196537.0,502.3265352764795,921693.0,2355.743963114244,4.283333333333333,76741.0,82267.04643548644,17.482281075794848,11.31772589864927,91517.0,98107.05214469986,0.122,0.3474677111125542,0.0559362537016751,0.4018774365832419,0.3698226430096387,0.4993729819525183,0.1310227315055223,0.2864136330477727,2248,5.759769150092256,48484,124.22448731008583,14997,38.424936807799625,130808,335.1529728582152,146244,374.7027044422117,589323,1509.9485920105956,186126,476.8873633585726,0.3917,4.315012354628919,11.016183110219007,4.2818,1.6044,5.8862,1689.0,4312.0,,
California,CA,2023,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,62,39181667.0,198715.0,507.1632097735913,911797.0,2327.1010904155764,4.716666666666667,80771.0,83155.4484853557,17.48371951679353,11.328467008455767,95473.0,98291.46764609034,0.12,0.3412642100082265,0.0555097844716404,0.4050370505975799,0.3748778858783071,0.4991486578391784,0.132072005564063,0.2864680207577329,1946,4.964451238208376,50038,127.65221534299626,14879,37.9578982391071,131852,336.3683579960179,136144,347.3177026591167,575035,1466.9749320468416,200618,511.79767651946963,0.39214,4.201670703663512,10.714642960161962,3.64043,1.39035,5.03078,1647.0,4200.0,,
California,CA,2024,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,62,39364774.0,191641.0,486.83373617234537,819559.0,2081.960384174948,5.291666666666667,85518.0,85518.0,17.488381913443618,11.356482159083086,100130.0,100130.0,0.118,0.3357556160450655,0.0549740696867863,0.407524734878515,0.3812364901183692,0.498895736613864,0.1324270034160458,0.2866989576265918,1782,4.519256712624194,46943,119.05020643137908,14436,36.610544278026296,128480,325.8328296509295,120573,305.7802130253855,530422,1345.1813602825757,168564,427.4882090385996,,,,,,,,,,
Colorado,CO,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3303862.0,17328.0,524.477111937484,182106.0,5511.913027844384,5.125,19843.0,47641.14589833536,15.010602645196238,10.77145207646156,29554.75,70958.12915077493,0.1169999999999999,0.8070682128975121,0.0390721525293732,0.1296788425182407,0.27,0.4952936896274723,0.1406901983194213,0.3546095448296569,138,4.188934292619523,2985,90.60847002513967,1521,46.16934100778474,12684,385.0176997651161,39822,1208.7807347876424,128172,3890.609319953837,14112,428.3640633148312,0.572202166,9.622407034495572,16.81644636312475,2.367658513,2.094467146,4.46212566,317.0,554.0,0.535,0.031
Colorado,CO,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3367567.0,18887.0,560.8500142684615,186235.0,5530.253741054001,5.275,20558.0,47361.12786046512,15.029701083134064,10.765557083895631,30741.5,70821.6807141983,0.1169999999999999,0.8052490121206201,0.0394762747110896,0.1308232323217325,0.2757,0.4953249630965026,0.138195023291296,0.3537687594634345,199,5.8928042641397695,3628,107.43263251406574,1588,47.02398578620077,13472,398.93396505774353,39117,1158.3358010068107,132717,3930.0266508735563,14401,426.44358898430556,0.541740675,8.983586163356883,16.5828164261309,2.974892467,2.915983705,5.890876173,305.0,563.0,0.519,0.031
Colorado,CO,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3459995.0,20086.0,580.5210701171534,186684.0,5395.499126443824,6.125,21600.0,48292.786600938416,15.056777701946158,10.785037482751214,31928.25,71384.45202738018,0.1169999999999999,0.80326965790413,0.0395928317815488,0.1319886300413729,0.2814,0.49562643876653,0.137195862999802,0.3468059924942088,216,6.224783861671471,4180,120.46109510086455,1641,47.29106628242075,14049,404.8703170028818,37853,1090.864553314121,131169,3780.086455331412,17662,508.99135446685875,0.573578595,9.811865629274992,17.10640130118497,3.518540736,2.431511891,5.950052626,343.0,598.0,0.483,0.047
Colorado,CO,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3560884.0,20229.0,568.0892722144276,176856.0,4966.631881296891,5.383333333333333,22608.0,49088.68767606853,15.085519386609986,10.80138389367518,33115.0,71902.50762531004,0.1169999999999999,0.8008146291763506,0.0396101080518208,0.1338139630496247,0.2871,0.4955881741724807,0.1365424989974399,0.3423874521045897,206,5.776780706674145,4160,116.6573191250701,1633,45.79360628154795,14230,399.04655075715084,36011,1009.8429613011778,124787,3499.355019629837,16058,450.3084688726865,0.630971993,10.649378230629997,16.877735211468426,3.920528278,1.835140896,5.755669174,383.0,607.0,0.48,0.031
