state_abbr,year,population,male_population,white_nh_population,black_nh_population,hispanic_population,age_15_24_population,age_25_44_population,state,share_male,share_white_nh,share_black_nh,share_hispanic,share_age_15_24,share_age_25_44
AR,2001,2691571,1314726,2104830,420322,96526,386708,743315,Arkansas,0.4884604567369763,0.7820079797263383,0.15616233047539893,0.03586232724308591,0.14367371323290376,0.2761639949308415
AR,2002,2705927,1322688,2105247,421924,105694,389822,737150,Arkansas,0.4888114128725572,0.7780132279991293,0.1559258620058856,0.03906018159396022,0.14406227514637313,0.2724205050616665
AR,2003,2724816,1333293,2108659,423821,115624,392434,734963,Arkansas,0.4893148748392552,0.7738720706278883,0.15554114479656608,0.04243369093546133,0.14402220186610765,0.26972940558188147
AR,2004,2749686,1346638,2117106,426627,125103,393476,736873,Arkansas,0.48974246513965597,0.7699446409517305,0.15515480676702723,0.045497194952441845,0.14309852106749643,0.26798441712981047
AR,2005,2781097,1362802,2128968,429497,137148,394552,741013,Arkansas,0.49002318149996205,0.7655137523070932,0.1544343832667469,0.04931435329296317,0.1418691976583341,0.2664462979896063
AR,2006,2821761,1383333,2146233,435995,149583,396127,747504,Arkansas,0.49023747936129247,0.7606005611389484,0.1545116684226623,0.05301051364732874,0.1403829027334349,0.26490691451189524
AR,2007,2848650,1397292,2156030,437897,160397,398071,747162,Arkansas,0.4905102416934337,0.7568602671440858,0.15372088533164832,0.056306320537798604,0.1397402278272164,0.2622863461639724
AR,2008,2874554,1410334,2164283,441886,170231,400097,745354,Arkansas,0.49062706771206943,0.7529108863496737,0.1537233254271793,0.05921996942830088,0.13918576586141712,0.2592937895757046
AR,2009,2896843,1421830,2170258,444630,179039,400806,743283,Arkansas,0.490820524274184,0.7491804008708791,0.15348777962768434,0.06180486826521148,0.13835958662585443,0.2565838051975892
AR,2010,2921546,1434471,2176282,448486,187829,404912,742502,Arkansas,0.490997232287289,0.7449076619022942,0.15350981980088624,0.064290961018584,0.138595113682961,0.2541469482253574
AR,2011,2938773,1443141,2173542,449913,195293,408771,743051,Arkansas,0.491069231954969,0.7396086734157419,0.15309552660242898,0.06645392481828301,0.1390958063110012,0.25284395902643725
AR,2012,2948793,1448179,2164944,449995,202167,410475,742984,Arkansas,0.49110907411947874,0.7341797135302478,0.15260311591895395,0.06855923762705622,0.13920102224876416,0.25196207397399545
AR,2013,2954563,1450584,2154115,450655,208334,411875,742484,Arkansas,0.4909639767369997,0.7290807473051006,0.15252847883087955,0.07051262741732026,0.13940301831438354,0.25130078458303307
AR,2014,2961050,1453630,2144284,451174,214108,411916,741985,Arkansas,0.4909170733354722,0.7241633879873693,0.1523695986221104,0.07230813393897435,0.13911146383884096,0.2505817193225376
AR,2015,2970210,1458579,2134937,452557,220738,410029,743298,Arkansas,0.49106931833102707,0.7187831836806152,0.1523653209705711,0.07431730416367867,0.13804714144791108,0.250250992354076
AR,2016,2980475,1463610,2125689,453530,227842,407117,745176,Arkansas,0.4910660213556564,0.713204774406764,0.15216702035749335,0.07644486197669835,0.13659467031261796,0.2500192083476627
AR,2017,2990702,1468535,2116773,453607,236049,404488,747758,Arkansas,0.4910335432951862,0.7077846605913929,0.15167241671019044,0.07892762301292472,0.13524851355969267,0.2500275854966493
AR,2018,2997195,1470703,2106574,453406,243116,403405,748499,Arkansas,0.4906931314112028,0.702848496677727,0.15127677711994048,0.08111450873233139,0.13459417889059605,0.24973316717797808
AR,2019,3004206,1473506,2096373,453344,250535,402237,750112,Arkansas,0.4904810122874397,0.6978126666413688,0.150903100519738,0.08339474723104874,0.13389128441924422,0.24968727177830016
AR,2020,3014546,1488860,2142950,466653,257973,399365,767630,Arkansas,0.4938919492354736,0.7108698955000189,0.15480042434250466,0.08557607016114532,0.13247931861049725,0.25464199252557435
AR,2021,3026870,1495032,2143508,466426,265408,404836,774719,Arkansas,0.4939201221063343,0.7081599143669863,0.15409515440042024,0.08768397717774466,0.13374740243221545,0.255947232619835
AR,2022,3047704,1504783,2147443,466979,276332,409680,782440,Arkansas,0.4937431587844489,0.7046100933686473,0.15322321327792987,0.09066891010413085,0.13442250297272965,0.2567309686242496
AR,2023,3069463,1515238,2152956,468256,285809,414752,790419,Arkansas,0.4936492148626649,0.7014112892059621,0.15255306872896007,0.09311368144851395,0.13512200668325372,0.2575105156830364
AR,2024,3088354,1524533,2155025,469898,295575,418137,797605,Arkansas,0.493639330206317,0.6977907972984962,0.15215159920138688,0.09570632123130962,0.13539153866428524,0.25826216813228015
AZ,1990,3679056,1817784,2634031,105863,695435,541429,1157416,Arizona,0.49408978825002936,0.7159529509743804,0.0287745008502181,0.1890253912960281,0.1471651967243771,0.3145959180833344
AZ,1991,3762394,1858000,2675383,109619,725449,539634,1187446,Arizona,0.49383451068654693,0.7110852824026405,0.029135438765849616,0.19281579760120818,0.1434283597092702,0.31560915736097817
AZ,1992,3867333,1909466,2730571,112766,764013,546334,1207936,Arizona,0.49374232836944737,0.7060604814739253,0.02915859585921357,0.19755552469880405,0.14126893132812715,0.31234341599236476
AZ,1993,3993390,1971731,2800729,115902,806395,557384,1233836,Arizona,0.49374866967664066,0.701341216360035,0.02902346126974826,0.20193244336265678,0.1395766504148105,0.3089695722180904
AZ,1994,4147561,2048640,2897144,122048,848839,576048,1281886,Arizona,0.4939384857751339,0.6985175142692296,0.02942645087076477,0.20465979885527905,0.1388883731908946,0.3090698364653347
AZ,1995,4306908,2128416,2989758,127875,898165,594703,1318656,Arizona,0.49418654867947026,0.694177354148266,0.029690673680515117,0.20854055856312695,0.13808119421171755,0.30617231665965466
AZ,1996,4432308,2191176,3056696,132885,943074,607978,1342672,Arizona,0.49436456130756257,0.6896397994002222,0.02998099410059048,0.21277266832539615,0.13716961907881853,0.30292840659990233
AZ,1997,4552207,2251175,3120089,137387,987744,628828,1365210,Arizona,0.4945238650175618,0.6854013888208511,0.03018030594830156,0.21698134553195844,0.13813695203227797,0.29990068553560945
AZ,1998,4667277,2308684,3176399,141873,1036791,649698,1366229,Arizona,0.49465330641399685,0.6805679200098901,0.030397381599592224,0.22214044720294082,0.13920279426312174,0.2927250728851105
AZ,1999,4778332,2364468,3229355,145997,1084250,669065,1364930,Arizona,0.4948312507377051,0.6758331149865685,0.030553967367692326,0.22690972498352982,0.14002061807341976,0.2856498878688212
AZ,2000,5160586,2576007,3303962,152868,1309389,737683,1514406,Arizona,0.49916947416436813,0.6402300048870418,0.02962221732183128,0.2537287432086201,0.1429455879622973,0.29345620826782076
AZ,2001,5273477,2631801,3341475,158955,1366916,760007,1526458,Arizona,0.49906371071685723,0.6336379204839615,0.03014235200039746,0.2592058332671215,0.1441187664229881,0.2894594970263452
AZ,2002,5396255,2692038,3384155,165509,1426437,780581,1543384,Arizona,0.498871532201499,0.6271302968447562,0.03067108578078686,0.264338323522517,0.14465235612475688,0.2860102052256611
AZ,2003,5510364,2746287,3423719,171619,1480908,796378,1554533,Arizona,0.49838576907079096,0.621323564105747,0.03114476648003653,0.268749578067801,0.14452366486134127,0.282110764370557
AZ,2004,5652404,2816798,3481436,180398,1541006,814207,1580090,Arizona,0.4983362831106906,0.6159212964961457,0.031915270033776776,0.27262842500288376,0.14404614390620346,0.27954300506474766
AZ,2005,5839077,2908266,3557990,191685,1618339,835280,1620018,Arizona,0.4980694722813212,0.6093411681332512,0.03282796236459975,0.27715664650423344,0.14305000601978704,0.27744419195020037
