state,state_abbr,year,share_white_nh,share_black_nh,share_hispanic,share_male,share_age_15_24,share_age_25_44,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,income_interpolated,poverty_interpolated,share_bachelors_plus,education_source,education_interpolated,controls_source
Minnesota,MN,2000,0.882387266979779,0.03571828156277287,0.02945076425524739,0.49518089090279654,0.14211649207125213,0.30322565737788254,49170.0,89577.7313362048,0.069,False,False,0.312,cps_state_table,False,historical_demographic_mix
Minnesota,MN,2001,0.8766146557073579,0.037469123761036977,0.03171913921420825,0.4954340896155492,0.14370887349191097,0.29838949858673725,49619.0,87919.35607531185,0.07200000000000001,False,False,0.314,cps_state_table,False,historical_demographic_mix
Minnesota,MN,2002,0.8712410102940166,0.03908498516119455,0.03366829815488744,0.4956689018686235,0.14493652537839202,0.29312593209515564,50157.0,87476.79176519644,0.075,False,False,0.305,cps_state_table,False,historical_demographic_mix
Minnesota,MN,2003,0.8660323826394479,0.04073138762047914,0.03556276629678968,0.4960002548692291,0.1460845912554526,0.2875662996391463,50750.0,86522.7280344203,0.08,False,False,0.327,cps_state_table,False,historical_demographic_mix
Minnesota,MN,2004,0.8608506415357942,0.04234889035604013,0.03740266009501715,0.49603348302076,0.14605422908092497,0.28268221890660894,51202.0,85025.22491331775,0.081,False,False,0.325,cps_state_table,False,historical_demographic_mix
Minnesota,MN,2005,0.8556763636519898,0.043828441217454966,0.039351136554081005,0.4961428612168377,0.14607025786008979,0.278104062076749,52048.0,83615.71617616934,0.092,False,False,0.30704877688724835,acs1,False,historical_demographic_mix
Minnesota,MN,2006,0.8500674438444057,0.04568286771420078,0.04123593144645501,0.4962867636734769,0.1453763928146403,0.2736200156675004,54022.0,84077.90479017654,0.09699999999999999,False,False,0.3042629731880755,acs1,False,historical_demographic_mix
Minnesota,MN,2007,0.8446565267380588,0.04748288092474981,0.04293302949779373,0.4963609062293135,0.14291722446772287,0.2710453193393843,55664.0,84215.99232837513,0.095,False,False,0.30952211547097364,acs1,False,historical_demographic_mix
Minnesota,MN,2008,0.8394813968619891,0.04904976502844092,0.044602286479672834,0.49634783032953195,0.14085638738041303,0.26790302606166017,57318.0,83531.6910908844,0.096,False,False,0.3152054115537181,acs1,False,historical_demographic_mix
Minnesota,MN,2009,0.8349643064279104,0.050346672907668956,0.045992172616731455,0.4963348312874926,0.1385108658008412,0.26502900948893654,55621.0,81319.1006666211,0.109,False,False,0.31497211969755773,acs1,False,historical_demographic_mix
Minnesota,MN,2010,0.8303449589689539,0.051363305991852334,0.04748487301958117,0.4962325380628768,0.13615684809881862,0.2628262844920849,55422.0,79723.42901448041,0.115,False,False,0.31825551232166016,acs1,False,historical_demographic_mix
Minnesota,MN,2011,0.8248562567229335,0.052736194237715084,0.04863060453066405,0.49630446486850416,0.13520162542271116,0.26145266550419155,56944.0,79419.30528521613,0.11800000000000001,False,False,0.32376170417835765,acs1,False,historical_demographic_mix
Minnesota,MN,2012,0.8196153873275113,0.053989476891582,0.04986099209078213,0.49644083340168366,0.13435093085752906,0.2604530570420468,58828.0,80380.4633135066,0.114,False,False,0.3319702816973381,acs1,False,historical_demographic_mix
Minnesota,MN,2013,0.8140548281618732,0.05547976897131327,0.05128713115567555,0.4964327319239791,0.13359878788927723,0.2597691812121365,60664.0,81691.53304350223,0.11199999999999999,False,False,0.3352910851663377,acs1,False,historical_demographic_mix
Minnesota,MN,2014,0.8081304404137742,0.05736169696610989,0.052539068315640314,0.4965195783195806,0.13308865799945307,0.2587729369424863,61473.0,81464.91519126376,0.114,False,False,0.34268360987348684,acs1,False,historical_demographic_mix
Minnesota,MN,2015,0.8019743065764429,0.059376549855886654,0.053952269746649774,0.4967423651138816,0.132508606605496,0.25783232403481804,63459.0,83995.04205559663,0.102,False,False,0.34694124592839376,acs1,False,historical_demographic_mix
Minnesota,MN,2016,0.7955360311303092,0.0618254937711309,0.055279188803799444,0.4968700895514653,0.13196280457827458,0.257209249260576,65583.0,85720.01061573264,0.099,False,False,0.3481571735623844,acs1,False,historical_demographic_mix
Minnesota,MN,2017,0.7893065891927115,0.06413363650779975,0.0568555584869318,0.4969027007250964,0.13036252324067032,0.25871309966637607,68364.0,87490.10270845827,0.095,False,False,0.3605018610973487,acs1,False,historical_demographic_mix
Minnesota,MN,2018,0.7832445161148743,0.06638762627960859,0.058390714117336415,0.49695888333820604,0.12916180283851714,0.2606226714680821,70295.0,87819.42069113372,0.096,False,False,0.3670370040761529,acs1,False,historical_demographic_mix
Minnesota,MN,2019,0.7777738701685097,0.06851523938307447,0.05963396642464889,0.4968990189751552,0.12868323922833313,0.26227652626821946,74529.0,91450.71158157017,0.08900000000000001,False,False,0.37253626782199684,acs1,False,historical_demographic_mix
Minnesota,MN,2020,0.7821569377672051,0.07000307315958454,0.0607089980536656,0.5013834471394663,0.12724491681018293,0.26470147888143997,75489.0,91482.4604185922,0.083,False,False,0.367810073431835,acs5,False,historical_demographic_mix
Minnesota,MN,2021,0.778277078896105,0.07170770774971759,0.061751179472114094,0.5014575092766487,0.1279715877495777,0.26535184816023333,77712.0,89964.95755149414,0.09300000000000001,False,False,0.3889526416469723,acs1,False,historical_demographic_mix
Minnesota,MN,2022,0.7726539384555531,0.07418876573614365,0.06348935030824307,0.5012268376391935,0.12772866290864074,0.26565985408680515,82343.0,88272.44112843538,0.096,False,False,0.3913960850464392,acs1,False,historical_demographic_mix
Minnesota,MN,2023,0.7667530324794787,0.07658149210644515,0.06538047309878173,0.5010898570635948,0.12967526083564748,0.26553889347003534,85070.0,87581.35967920675,0.092,False,False,0.3998924287879845,acs1,False,historical_demographic_mix
Minnesota,MN,2024,0.7598614294707664,0.0794588299182949,0.0673355484778491,0.5008787100491597,0.13047700638219167,0.2658156157158686,87120.0,87120.0,0.09300000000000001,False,False,0.4003043352710015,acs1,False,historical_demographic_mix
Mississippi,MS,1990,0.6312615764720306,0.35435197751555236,0.006240722333056313,0.4785029715693098,0.16384990296520638,0.29473862683157537,20644.75,49566.07099655591,0.24600000000000002,True,True,0.147,stat_abstract_229_anchor,False,historical_demographic_mix
Mississippi,MS,1991,0.6293563288476901,0.35611350594119395,0.006308972958787911,0.4784295489014869,0.16356209213385148,0.2946982707054179,21415.5,49336.61998714811,0.24600000000000002,True,True,0.1528,interpolated,True,historical_demographic_mix
Mississippi,MS,1992,0.6269226068723653,0.3580777360141568,0.006534765819998751,0.4784174963307311,0.16380934283403564,0.29030228799173086,22186.25,49603.51095949398,0.24600000000000002,True,True,0.1586,interpolated,True,historical_demographic_mix
Mississippi,MS,1993,0.6252653122242062,0.3593228647725315,0.006483597121537851,0.47894652170646695,0.1643311855406071,0.2891852021608955,22957.0,49846.470407798355,0.24600000000000002,False,False,0.1644,interpolated,True,historical_demographic_mix
Mississippi,MS,1994,0.6240409994555933,0.360115639490135,0.006761906549775667,0.47906549775666896,0.16397792337006514,0.28862415288441684,24729.0,52335.58416933716,0.23,True,True,0.17020000000000002,interpolated,True,historical_demographic_mix
