state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Colorado,CO,2000,historical_mix,47505,86544.44025068963,0.08900000000000001,0.7465005716536077,0.037323769026520244,0.17224534489998777,0.34600000000000003,0.5036327217437064,0.14295453972929018,0.32458392468917274
Colorado,CO,2001,historical_mix,48483,85906.49026782773,0.087,0.7404624411983948,0.037436221766247814,0.17698246622501773,0.35200000000000004,0.5038725061216485,0.14519553687371023,0.3191866031194705
Colorado,CO,2002,historical_mix,48060,83819.49901779095,0.095,0.734428022766761,0.0374534062176115,0.18194858104144704,0.35700000000000004,0.5036829631886293,0.14623911512678364,0.3133155442959946
Colorado,CO,2003,historical_mix,49248,83961.99626086958,0.1,0.7297501817285722,0.03712959830698748,0.18599908318708194,0.36,0.5024624994369284,0.14587306115707444,0.3064113751928796
Colorado,CO,2004,historical_mix,50105,83203.56420221447,0.102,0.7254770642181781,0.03743224336193143,0.18901454487670308,0.355,0.5028405383766122,0.1454489856094398,0.3020271199229379
Connecticut,CT,1999,historical_mix,51706,97369.14900850425,0.075,0.802386997563399,0.08619175138808866,0.08505830688375582,0.335,0.48530955374888296,0.11790351766939434,0.3077795426063922
Connecticut,CT,2000,historical_mix,52758,96114.33699075642,0.073,0.7785236256648661,0.08918167863843388,0.09492179588525276,0.316,0.48433968574147723,0.11891808872619752,0.3022395660677705
Connecticut,CT,2001,historical_mix,55060,97560.20366203814,0.071,0.7725629108302613,0.0897855562530678,0.09849555833589438,0.324,0.48469442894866777,0.12105184199065787,0.296395544790239
Connecticut,CT,2002,historical_mix,54543,95126.23668180133,0.078,0.7659367592155429,0.09052290293397988,0.10226732266492886,0.326,0.4852184995210696,0.12335471582355355,0.29091125143801994
Connecticut,CT,2003,historical_mix,56409,96170.65154076088,0.08,0.7594612000679613,0.09112984511252646,0.10598920425584674,0.335,0.48527696525249,0.125530660648112,0.2851005184345023
Connecticut,CT,2004,historical_mix,56617,94017.28758480745,0.091,0.7536196109143518,0.09160079791904908,0.10952565920710369,0.345,0.4856894580065639,0.1277394143292486,0.2794301297390745
Delaware,DE,1999,historical_mix,45201,85119.38468134067,0.094,0.7457712816075632,0.19391457365122927,0.0368514925591012,0.24,0.48607369502267966,0.13178101170743878,0.3230626723536172
Delaware,DE,2000,historical_mix,47812,87103.73176015099,0.087,0.725650550057034,0.191062002383093,0.04811202826139758,0.24,0.4856804595274761,0.13749200443046747,0.30043630694339707
Delaware,DE,2001,historical_mix,47876,84830.95369639916,0.084,0.7181547293637418,0.19320622496697873,0.051411400542164816,0.28600000000000003,0.48554792704276367,0.1399951489193778,0.2939428100324369
Delaware,DE,2002,historical_mix,48096,83882.28515937731,0.09300000000000001,0.7109340597318925,0.1951600718955951,0.05481108799767791,0.295,0.4856512716316306,0.14122845209875348,0.288288187712502
Delaware,DE,2003,historical_mix,48770,83147.06298007247,0.09,0.7035499869804879,0.19691003578226485,0.05818927314447502,0.281,0.4855740137872355,0.14166329463339378,0.2836089843191284
Delaware,DE,2004,historical_mix,49545,82273.63713000133,0.096,0.6963106777418955,0.19829730995193806,0.06171619505466398,0.26899999999999996,0.4856542405359634,0.14107676549073608,0.27992556598856766
Florida,FL,1999,historical_mix,36309,68374.58769484742,0.124,0.6799894171518903,0.1456968069604329,0.15448119294480323,0.21600000000000003,0.4850758150685675,0.12045355101141905,0.28047571728707443
Florida,FL,2000,historical_mix,38784,70656.55342980206,0.11699999999999999,0.6559322736261658,0.14543211207467324,0.1693147506015729,0.228,0.4879385375243457,0.1219621231075341,0.2850385246563097
Florida,FL,2001,historical_mix,37319,66125.1224203342,0.126,0.6480451203481135,0.14642532117508833,0.17495047675711986,0.24600000000000002,0.4881216968966005,0.12444361625499496,0.280724860588449
Florida,FL,2002,historical_mix,38226,66668.41800778355,0.128,0.6402700042002784,0.14721676132771938,0.18056583322198502,0.257,0.4881931433001965,0.12626324420873886,0.27668396110817844
Florida,FL,2003,historical_mix,38985,66464.79906250001,0.13,0.632848400840151,0.14799132090906392,0.18585663386180437,0.258,0.48850096903185325,0.12807634165554924,0.27269423788460245
Florida,FL,2004,historical_mix,40900,67917.88795271075,0.11900000000000001,0.6254873439577733,0.14851385429769356,0.1912838456352046,0.26,0.4888151338953443,0.12982031106179054,0.2695172146727381
Georgia,GA,1999,historical_mix,39910,75155.74086043022,0.127,0.6628543804505254,0.2844590048586073,0.03075996630817746,0.215,0.48677621644941604,0.14257406037821124,0.3265301274742432
Georgia,GA,2000,historical_mix,42057,76619.29320331026,0.12300000000000001,0.627380685991509,0.28628616206307217,0.05367202350515108,0.231,0.49190725077221537,0.14565186185558013,0.322934988537556
Georgia,GA,2001,historical_mix,42006,74429.96576512122,0.127,0.6202379647794364,0.2873839178000625,0.05779226499867853,0.242,0.49192518883166103,0.14632033422792162,0.31849169121591664
Georgia,GA,2002,historical_mix,42359,73876.6158737954,0.13,0.6134198359804877,0.28861919528514424,0.0615032034767172,0.25,0.4913253667966737,0.1462386651271424,0.31365252761553014
Georgia,GA,2003,historical_mix,42421,72322.7713487319,0.134,0.6071082768657441,0.28975066431491514,0.06495957864232621,0.25,0.49030992626171127,0.14572007005154827,0.3088161805577381
Georgia,GA,2004,historical_mix,42679,70872.06699104504,0.13699999999999998,0.5999447843442063,0.2913372771132589,0.068714412586159,0.276,0.4910028814316204,0.14678709198914572,0.3050423228799902
Hawaii,HI,1999,historical_mix,44755,84279.50844922461,0.105,0.2868720882465329,0.025440806682766805,0.08051981573972773,0.262,0.49939982977603486,0.1404836958676403,0.29104164751155
Hawaii,HI,2000,historical_mix,49005,89277.13492232493,0.099,0.23116325331535806,0.017122105216317175,0.07250731138119798,0.263,0.5026909343817443,0.13642884866244367,0.2978288761857045
Hawaii,HI,2001,historical_mix,46535,82454.85066133208,0.10400000000000001,0.23233367157497709,0.018566040321449196,0.07459207078929939,0.27899999999999997,0.5030874066436749,0.1386983787240568,0.29142426921859654
Hawaii,HI,2002,historical_mix,47424,82710.27718309859,0.11,0.23297513014142318,0.01932135271249979,0.0766715095759725,0.268,0.5029158293757809,0.13980572969144403,0.286229653932316
Hawaii,HI,2003,historical_mix,48274,82301.44183514494,0.10800000000000001,0.2323486956841444,0.018556468668125586,0.07806552990279374,0.27,0.5014578541090865,0.14086195624199738,0.28013098307642387
Hawaii,HI,2004,historical_mix,51359,85285.93661034893,0.09,0.23232035327493053,0.017451743878816147,0.07960777939789677,0.266,0.49993757699818386,0.14047530993609297,0.27606356624572365
Idaho,ID,1999,historical_mix,36656,69028.0340010005,0.121,0.9003059838619477,0.003885116241911001,0.07432132300071902,0.20800000000000002,0.4989246624590557,0.16742989534233443,0.2723615882399936
