state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Illinois,IL,2018,acs1,65030,81241.86538935096,0.12125123651602025,0.609111001579144,0.1380821719979782,0.17336583711898834,0.35062625367891304,0.4917999102116932,0.13145439790033497,0.2676309229672838
Illinois,IL,2019,acs1,69187,84895.81749646575,0.11480788855987158,0.6069356566826504,0.13883505772374782,0.17489988218741412,0.3575711807684089,0.4906402165876554,0.13089026431165654,0.2674834185236676
Illinois,IL,2020,acs5,68428,82925.4832031611,0.11987514760231989,0.6084743008976606,0.13892444293735123,0.17227648212149513,0.35517215973845073,0.4912710311065507,0.13175066002608962,0.2675751114880242
Illinois,IL,2021,acs1,72205,83589.66131364055,0.12103817090343572,0.5893440610555888,0.13387974196204086,0.17972107259229375,0.37139978629426723,0.4943676222543732,0.1299000139604966,0.2675197327160726
Illinois,IL,2022,acs1,76708,82231.67013686679,0.11942473028848728,0.5846671666389022,0.13196779343749881,0.18277858457203097,0.3767949688243392,0.49507384816697336,0.1328475400475853,0.26729275525606677
Illinois,IL,2023,acs1,80306,82676.72117548346,0.11627931809697083,0.5785425439626433,0.13097041687646602,0.18950158844573758,0.38277758364255937,0.4938495288608347,0.13104436293202165,0.26778575947180844
Illinois,IL,2024,acs1,83211,83211.0,0.11578921271191639,0.5709215416519606,0.12934449752709604,0.19376375966372722,0.39230752019786996,0.4941133697944589,0.1318996191864806,0.2708122904530376
Indiana,IN,2008,acs1,47966,69902.66748430443,0.13075146315062539,0.8305649611905171,0.08484030841840223,0.051550215217934035,0.22893819630298126,0.4917968157029428,0.1393242871964461,0.2679096323041429
Indiana,IN,2009,acs1,45424,66410.86691502485,0.1440170218341116,0.826296065474794,0.08718171391348713,0.05430482073100691,0.2252021720829627,0.49194292549422686,0.142150698578711,0.2640391037803632
Indiana,IN,2010,acs1,44613,64174.900556151246,0.15295697758823415,0.8149924329274503,0.08912953013278699,0.06001736967849455,0.2267514902602914,0.4925759800179367,0.1430098907331055,0.2569164029142974
Indiana,IN,2011,acs1,46438,64766.67776824366,0.15999782875044588,0.8125785455158125,0.08904663888872692,0.0612997976652168,0.23010819749408937,0.49201601614995544,0.14406924004921343,0.25561254224003294
Indiana,IN,2012,acs1,46974,64183.584070317855,0.1561430071756488,0.809083488773864,0.09031755146669881,0.06254843335218914,0.2341953448805722,0.492118805617091,0.1437861366728394,0.25296550551035024
Indiana,IN,2013,acs1,47529,64003.64094066691,0.15941340067117993,0.8058987944120913,0.09045698748817134,0.06400597665282483,0.2381740604680108,0.49139128844106944,0.14285740374761335,0.25364067216342595
Indiana,IN,2014,acs1,49446,65526.55957163678,0.15242495454872595,0.8024646592959827,0.09173977599932089,0.06449512684453425,0.24651685641628804,0.49174629425688454,0.1427794001838755,0.25393145673203366
Indiana,IN,2015,acs1,50532,66884.72029425943,0.1454137785632789,0.7989633940009184,0.09007610639789235,0.06633160515311919,0.24936445431301368,0.49142692698136464,0.1436909337007227,0.2514653276291301
Indiana,IN,2016,acs1,52314,68376.81465244708,0.14085257377653665,0.7950272672327509,0.09176272223363811,0.06755245284486645,0.25607889311419996,0.49258418408536764,0.14148763774388656,0.2518748154130534
Indiana,IN,2017,acs1,54181,69339.1442110903,0.13479208915848603,0.7917997761450815,0.09195991250998602,0.06924112822638927,0.2681788021014056,0.49291161090643243,0.13939093582575676,0.25296910760125746
Indiana,IN,2018,acs1,55746,69643.38040896138,0.13139215698058684,0.7869666781133786,0.09393521519669068,0.07059587756979431,0.2710597590407828,0.49253333668067467,0.13817660752332903,0.25414674326100983
Indiana,IN,2019,acs1,57603,70681.68550810002,0.1190381791595767,0.7831397047541085,0.09395163763983316,0.07212391634912649,0.26939625923058896,0.4931371067994074,0.13855639574410755,0.2543124339835053
Indiana,IN,2020,acs5,58235,70572.94549506177,0.12911221708192946,0.7844612419520515,0.09292622713249263,0.07099934253093187,0.2715506316359842,0.4928180874324855,0.1391461682305511,0.2540725975463547
Indiana,IN,2021,acs1,62743,72635.77480509313,0.12151469631124018,0.7662602841469677,0.08748270823400286,0.0761096299800837,0.2887924483362798,0.4958769377246644,0.13826727505276606,0.25778149672677797
Indiana,IN,2022,acs1,66785,71594.12434284101,0.1255904239765972,0.7599044173183901,0.09191432740668608,0.07822700213682438,0.29600258263786794,0.49650938521187576,0.14117221961479207,0.2565617601660872
Indiana,IN,2023,acs1,69477,71528.03722149109,0.12310780432687285,0.7510035777161228,0.08845298715470071,0.08711274622027138,0.3021467095127379,0.49724075329205697,0.1398264608764625,0.25817365541279114
Indiana,IN,2024,acs1,71959,71959.0,0.12227666690468793,0.7426134866105115,0.08949355708720408,0.0904955392441808,0.3065626086442457,0.4956134757790527,0.137051027002827,0.26266966577728357
Iowa,IA,2008,acs1,48980,71380.40806782368,0.11549711635682963,0.9022789575684991,0.02520618259703313,0.041263163363759625,0.2426405500337506,0.4930674088784992,0.14643252401203374,0.24892816356192404
Iowa,IA,2009,acs1,48044,70241.36337762975,0.11803185477153859,0.8990055045834958,0.024710948692042208,0.04344721175242041,0.25085504193302327,0.4931607453412845,0.14671209435820917,0.24668326984959724
Iowa,IA,2010,acs1,47961,68990.93101951382,0.12558490786038204,0.8855444618695208,0.03050641614776698,0.049751416693689564,0.249432703333936,0.49374976023670414,0.14142706457919862,0.2456874575188622
Iowa,IA,2011,acs1,49427,68935.41026855118,0.1278390283175676,0.8838180601630992,0.028129754378150604,0.050040998475333484,0.25804002661798214,0.49382704358051394,0.1418775832223332,0.2443874866971295
Iowa,IA,2012,acs1,50957,69625.8120124151,0.12691844093839572,0.880136725624279,0.02909680806561477,0.05225578413277531,0.2632900554886541,0.4957757923560904,0.14160691643251255,0.2439914175654954
