state,state_abbr,year,population,violent_crime,violent_rate,property_crime,property_rate
New Mexico,NM,1992,1580750.0,14781.0,935.0624703463546,86942.0,5500.047445832674
New Mexico,NM,1993,1614937.0,15024.0,930.3149286938128,86236.0,5339.89870812298
New Mexico,NM,1994,1653329.0,14708.0,889.5991058041079,87638.0,5300.699376833044
New Mexico,NM,1995,1682417.0,13804.0,820.4862409260012,94508.0,5617.394498510179
New Mexico,NM,1996,1706151.0,14399.0,843.946403337102,98698.0,5784.833815998701
New Mexico,NM,1997,1722939.0,14762.0,856.7917958790184,104721.0,6078.04455061961
New Mexico,NM,1998,1733535.0,16700.0,963.3494564574698,100011.0,5769.194161063953
New Mexico,NM,1999,1739844.0,14520.0,834.5575810245056,89220.0,5128.045962741487
New Mexico,NM,2000,1821204.0,13786.0,756.9717615379716,86605.0,4755.3706229505315
New Mexico,NM,2001,1831690.0,14288.0,780.0446582118153,83095.0,4536.520917840901
New Mexico,NM,2002,1855309.0,13719.0,739.4455586643519,80477.0,4337.66019568708
New Mexico,NM,2003,1877574.0,12535.0,667.61682895055,76816.0,4091.236883339884
New Mexico,NM,2004,1903808.0,13081.0,687.0965979762665,79895.0,4196.589151847245
New Mexico,NM,2005,1932274.0,12448.0,644.2150543866967,79575.0,4118.204768060845
New Mexico,NM,2006,1962137.0,12797.0,652.1970688081414,76000.0,3873.327907276607
New Mexico,NM,2007,1990070.0,13311.0,668.8709442381424,75168.0,3777.153567462451
New Mexico,NM,2008,2010662.0,12967.0,644.9119742651923,75718.0,3765.8243901759715
New Mexico,NM,2009,2036802.0,12709.0,623.9683582400253,74639.0,3664.519182522405
New Mexico,NM,2010,2064614.0,12147.0,588.3424213920858,70776.0,3428.0499890052088
New Mexico,NM,2011,2080707.0,11904.0,572.1132288207806,73549.0,3534.8081205090384
New Mexico,NM,2012,2087715.0,11660.0,558.5053515446314,75094.0,3596.946901277234
New Mexico,NM,2013,2092833.0,12990.0,620.6897540319749,78958.0,3772.7807235455484
New Mexico,NM,2014,2090236.0,12465.0,596.3441448716795,73877.0,3534.385590909352
New Mexico,NM,2015,2090071.0,13672.0,654.1404574294367,77212.0,3694.2285692686996
New Mexico,NM,2016,2092555.0,14585.0,696.9948221193708,81930.0,3915.3092750250294
New Mexico,NM,2017,2092844.0,16300.0,778.8444814807028,81865.0,3911.6627899642785
New Mexico,NM,2018,2093754.0,17637.0,842.362569814792,70722.0,3377.760711143716
New Mexico,NM,2019,2099634.0,17302.0,824.0483817655838,66744.0,3178.8397406405115
New Mexico,NM,2020,2118446.0,16393.0,773.8219430658133,59859.0,2825.608960530502
New Mexico,NM,2021,2117300.0,17374.0,820.5733717470363,58682.0,2771.5486704765503
New Mexico,NM,2022,2112859.0,16416.0,776.9567207276964,62897.0,2976.866889839786
New Mexico,NM,2023,2119349.0,15843.0,747.5408722206678,61007.0,2878.5726182898616
New Mexico,NM,2024,2126774.0,15276.0,718.2709587384461,58605.0,2755.5819283102014
New York,NY,1979,17583838.0,161906.0,920.765989768559,933234.0,5307.339614935033
New York,NY,1980,17566754.0,180235.0,1026.0005917997144,1029749.0,5861.919623853103
New York,NY,1981,17567734.0,188178.0,1071.1569289471254,1026757.0,5844.561398755241
New York,NY,1982,17589738.0,174833.0,993.9488581353514,967369.0,5499.621426993398
New York,NY,1983,17686905.0,161489.0,913.0427285045066,881322.0,4982.90684548823
New York,NY,1984,17745684.0,162157.0,913.7827541615189,826969.0,4660.113411238473
New York,NY,1985,17791672.0,165365.0,929.451712014475,828446.0,4656.369564366969
New York,NY,1986,17833419.0,175210.0,982.4812617255278,849827.0,4765.362155176189
New York,NY,1987,17868848.0,179691.0,1005.610434427558,881330.0,4932.214992259154
New York,NY,1988,17941309.0,196396.0,1094.658143394108,932845.0,5199.425526866517
New York,NY,1989,17983086.0,203042.0,1129.0720624925,926596.0,5152.597279465826
New York,NY,1990,18002855.0,212458.0,1180.1350396923153,932416.0,5179.267399531907
New York,NY,1991,18029532.0,210184.0,1165.7762386733057,917467.0,5088.69004475546
New York,NY,1992,18082032.0,203311.0,1124.3813748366333,858178.0,4746.026331553888
New York,NY,1993,18140894.0,195352.0,1076.8598284075747,814824.0,4491.641922388169
New York,NY,1994,18156652.0,175433.0,966.2188822036132,745845.0,4107.833316406571
New York,NY,1995,18150928.0,152683.0,841.1856407562191,674342.0,3715.192964238523
New York,NY,1996,18143805.0,132206.0,728.6564201941103,619250.0,3413.010666726191
New York,NY,1997,18143184.0,124890.0,688.3576774616848,584438.0,3221.253777727217
New York,NY,1998,18159175.0,115915.0,638.3274570568321,536287.0,2953.2564117037255
New York,NY,1999,18196601.0,107147.0,588.8297490284037,489596.0,2690.5904020206854
New York,NY,2000,19001780.0,105111.0,553.1639667441682,483078.0,2542.2776182020843
New York,NY,2001,19082838.0,98022.0,513.6657346250071,458003.0,2400.0780177455786
New York,NY,2002,19137800.0,95030.0,496.5565529998223,442091.0,2310.040861541034
New York,NY,2003,19175939.0,89486.0,466.6577214289219,432079.0,2253.2351610004603
New York,NY,2004,19171567.0,84914.0,442.91632499315256,422734.0,2205.004942997096
New York,NY,2005,19132610.0,85839.0,448.6528497680138,405990.0,2121.9791758677984
New York,NY,2006,19104631.0,84016.0,439.76771914621116,398577.0,2086.2847337904614
New York,NY,2007,19132335.0,79962.0,417.9416678622865,383624.0,2005.1081062504916
New York,NY,2008,19212436.0,77546.0,403.6239860473706,388599.0,2022.6430422461785
New York,NY,2009,19307066.0,75110.0,389.02855565936324,377537.0,1955.4343471970315
New York,NY,2010,19399956.0,76492.0,394.28955405878236,379710.0,1957.272480411811
New York,NY,2011,19499921.0,77463.0,397.24776320888685,371837.0,1906.8641355008565
New York,NY,2012,19574362.0,79535.0,406.32231078591474,375268.0,1917.1403900673747
New York,NY,2013,19626488.0,77563.0,395.1955133287219,358603.0,1827.1378964998732
New York,NY,2014,19653431.0,75972.0,386.558458927604,339113.0,1725.4646275248326
New York,NY,2015,19657321.0,75126.0,382.17822255636975,317225.0,1613.7753460911586
New York,NY,2016,19636391.0,74315.0,378.4554911337832,305224.0,1554.3793154251205
New York,NY,2017,19593849.0,70746.0,361.06229051780485,293390.0,1497.3576656633418
New York,NY,2018,19544098.0,68512.0,350.5508414867752,281543.0,1440.5525391859987
New York,NY,2019,19463131.0,70260.0,360.9902230016332,269787.0,1386.1438840441447
New York,NY,2020,20122262.0,70339.0,349.5581162793726,272788.0,1355.6527591182344
New York,NY,2021,19835345.0,61227.0,308.67625443368894,208058.0,1048.9255417538743
New York,NY,2022,19713025.0,84499.0,428.6455275129007,338321.0,1716.230766206607
New York,NY,2023,19786543.0,77199.0,390.159109653465,355852.0,1798.4546365678937
New York,NY,2024,20001419.0,75528.0,377.61320834286806,341627.0,1708.0138164197251
North Carolina,NC,1979,5823491.0,25009.0,429.45030738435077,220113.0,3779.7431128510375
North Carolina,NC,1980,5898980.0,26589.0,450.7389413084974,244585.0,4146.225279624613
North Carolina,NC,1981,5956653.0,25986.0,436.2517004096092,243012.0,4079.6736019371956
North Carolina,NC,1982,6019101.0,26865.0,446.32911127425837,246593.0,4096.841039882866
North Carolina,NC,1983,6077056.0,24911.0,409.9188817743328,229540.0,3777.1578869768523
North Carolina,NC,1984,6164006.0,24885.0,403.71472707846164,224437.0,3641.089901599706
North Carolina,NC,1985,6253954.0,26327.0,420.96568027203267,231465.0,3701.098537021539
North Carolina,NC,1986,6321578.0,30128.0,476.58986411304267,244121.0,3861.7098452316814
North Carolina,NC,1987,6403700.0,31039.0,484.70415541015353,267157.0,4171.916235926105
North Carolina,NC,1988,6480594.0,32753.0,505.40120242064233,284557.0,4390.90922838246
North Carolina,NC,1989,6565459.0,35902.0,546.8315315044995,309323.0,4711.368999486555
North Carolina,NC,1990,6656987.0,41332.0,620.8814888777761,322306.0,4841.6197898538785
North Carolina,NC,1991,6748135.0,44355.0,657.2927186548579,352368.0,5221.709405635779
North Carolina,NC,1992,6831850.0,46600.0,682.0992849667366,350447.0,5129.606182805535
North Carolina,NC,1993,6947412.0,47178.0,679.0730130874633,345377.0,4971.304422423775
North Carolina,NC,1994,7060959.0,46308.0,655.8315945468597,351397.0,4976.618615120128
North Carolina,NC,1995,7185403.0,46508.0,647.2566674409215,359256.0,4999.80307298004
North Carolina,NC,1996,7307658.0,43068.0,589.3543458109287,361616.0,4948.452705367437
North Carolina,NC,1997,7428672.0,45071.0,606.7167859881282,362672.0,4882.056981382406
North Carolina,NC,1998,7545828.0,43723.0,579.4327673517075,357892.0,4742.91224236757
North Carolina,NC,1999,7650789.0,41474.0,542.0878813936707,354497.0,4633.469829059461
North Carolina,NC,2000,8081614.0,40051.0,495.5816993981648,355921.0,4404.083144777764
North Carolina,NC,2001,8210122.0,40465.0,492.8672192690925,363777.0,4430.835497937789
North Carolina,NC,2002,8326201.0,39118.0,469.81810792220847,353708.0,4248.131891122975
North Carolina,NC,2003,8422501.0,38243.0,454.0575299427094,359660.0,4270.228047464761
North Carolina,NC,2004,8553152.0,38244.0,447.13340766070803,355328.0,4154.351518598056
North Carolina,NC,2005,8705407.0,40650.0,466.9511718406733,353855.0,4064.772617753541
North Carolina,NC,2006,8917270.0,42088.0,471.9830172238813,364549.0,4088.1233830533333
North Carolina,NC,2007,9118037.0,42231.0,463.15890141704847,369893.0,4056.7174710960267
North Carolina,NC,2008,9309449.0,43125.0,463.23901661634324,372763.0,4004.1360127758367
North Carolina,NC,2009,9449566.0,37946.0,401.5634157166583,343707.0,3637.2781564782977
North Carolina,NC,2010,9574586.0,34679.0,362.1984282140241,329202.0,3438.289655552731
North Carolina,NC,2011,9658913.0,33421.0,346.0120201931625,337806.0,3497.3500641324754
