state_abbr,year,drug_overdose_per_100k
CT,2010,14.912591755020982
CT,2011,15.93869811962887
CT,2012,15.895315795790566
CT,2013,16.73644057495539
CT,2014,17.776400386125417
CT,2015,19.66554527237241
CT,2016,23.712924437576646
CT,2017,26.02424938174274
CT,2018,24.84335627572449
CT,2019,25.940395413603728
CT,2020,33.588386456758855
CT,2021,38.75510952481101
DC,2003,13.752450000000001
DC,2004,14.490500000000003
DC,2005,15.628580000000001
DC,2006,17.88342
DC,2007,18.54237
DC,2008,18.61181
DC,2009,18.749009999999995
DC,2010,19.31656
DC,2011,20.66496
DC,2012,20.617810000000002
DC,2013,21.720749999999995
DC,2014,23.08185
DC,2015,25.542049999999996
DC,2016,30.82462
DC,2017,33.83182
DC,2018,32.29366
DC,2019,33.7299
DC,2020,43.69210000000001
DC,2021,50.4271
DE,2003,12.666938573807187
DE,2004,13.340940796735206
DE,2005,14.381815578311542
DE,2006,16.445959814493268
DE,2007,17.049367318907162
DE,2008,17.10791611668632
DE,2009,17.2344828606641
DE,2010,17.74701733695864
DE,2011,18.981773444165313
DE,2012,18.93571563909175
DE,2013,19.94531663113514
DE,2014,21.19267856355646
DE,2015,23.445115165047
DE,2016,28.272714195185422
DE,2017,31.024128033628344
DE,2018,29.618186385931526
DE,2019,30.91914685492921
DE,2020,40.019606339666545
DE,2021,46.19938030011441
FL,2003,10.164950179766215
FL,2004,10.718520950529298
FL,2005,11.56383438659586
FL,2006,13.223606515446422
FL,2007,13.709828372958567
FL,2008,13.75049214308665
FL,2009,13.838424912952286
FL,2010,14.237131830408524
FL,2011,15.206490348290139
FL,2012,15.157328833344662
FL,2013,15.957972416263711
FL,2014,16.957918367703442
FL,2015,18.772352975544276
FL,2016,22.659042936008348
FL,2017,24.876323397913314
FL,2018,23.762317550022992
FL,2019,24.832881164282284
FL,2020,32.18564544600382
FL,2021,37.199308905621876
GA,2003,6.53595525407255
GA,2004,6.887061042182388
GA,2005,7.4317829102214885
GA,2006,8.509559477813713
GA,2007,8.832666054404562
GA,2008,8.869500220557036
GA,2009,8.932460076151308
GA,2010,9.200448378076524
GA,2011,9.83446694447261
GA,2012,9.805940957318464
GA,2013,10.32777204298652
GA,2014,10.973896227293181
GA,2015,12.141971848169263
GA,2016,14.644501406195037
GA,2017,16.079704425824403
GA,2018,15.35967854701542
GA,2019,16.04347024591222
GA,2020,20.793659511428416
GA,2021,23.978619817076908
HI,2003,6.634821532800918
HI,2004,6.991107032072859
HI,2005,7.539842717731248
HI,2006,8.624327366482124
HI,2007,8.943515095027267
HI,2008,8.97568962216252
HI,2009,9.043727736250453
HI,2010,9.31541463587551
HI,2011,9.966481706273441
HI,2012,9.943731139794396
HI,2013,10.474307420823923
HI,2014,11.129895994114467
HI,2015,12.315025536476133
HI,2016,14.850582820233956
HI,2017,16.29492670849924
HI,2018,15.55665740859053
HI,2019,16.244506756837133
HI,2020,21.032665239245603
HI,2021,24.281675170243485
IA,2003,4.611194673363247
IA,2004,4.860807143157499
IA,2005,5.250566374725329
IA,2006,6.0156197846809745
IA,2007,6.246836675296712
IA,2008,6.2789164235792745
IA,2009,6.335008857488122
IA,2010,6.530465844190626
IA,2011,6.996542053585986
IA,2012,6.989437224688675
IA,2013,7.373331357417011
IA,2014,7.846977906657884
IA,2015,8.693791873627921
IA,2016,10.49797763022906
IA,2017,11.535745255896332
IA,2018,11.02631528507889
IA,2019,11.521927787783628
IA,2020,14.92759729541172
IA,2021,17.200334733894778
ID,2003,6.521625078554767
ID,2004,6.864121496311975
ID,2005,7.39785367721554
ID,2006,8.463040854344987
ID,2007,8.772817689038307
ID,2008,8.80182357280098
ID,2009,8.868535317294537
ID,2010,9.134605200362579
ID,2011,9.778082326077845
ID,2012,9.759959740774855
ID,2013,10.277900963032852
ID,2014,10.920295407830183
ID,2015,12.086295764326064
ID,2016,14.572366824058394
ID,2017,15.989590676751495
ID,2018,15.268132774608835
ID,2019,15.940622368048027
ID,2020,20.64323803617359
ID,2021,23.729940546776486
IL,2003,8.180589260878818
IL,2004,8.612102856519336
IL,2005,9.280416394399703
IL,2006,10.614548500496879
IL,2007,10.995433062951358
IL,2008,11.034255534221362
IL,2009,11.11474820069552
IL,2010,11.443630937656742
IL,2011,12.23920639386132
IL,2012,12.215170719721272
IL,2013,12.864519099500628
IL,2014,13.66679478924093
IL,2015,15.119399627049395
IL,2016,18.242380643893103
IL,2017,20.01652707447003
IL,2018,19.109815507445568
IL,2019,19.957318451104943
IL,2020,25.857636208751043
IL,2021,29.854527270525622
IN,2003,10.283381018449035
IN,2004,10.818367648172062
IN,2005,11.65027250582294
IN,2006,13.31146395243459
IN,2007,13.78882512432678
IN,2008,13.830156405816767
IN,2009,13.93024049610292
IN,2010,14.34510969604491
IN,2011,15.334853160207143
IN,2012,15.294367976976256
IN,2013,16.105535474049073
IN,2014,17.104054203893288
IN,2015,18.91332246249608
IN,2016,22.79489046190375
IN,2017,25.00147071347966
IN,2018,23.85393205868465
IN,2019,24.89090667584657
IN,2020,32.21809906192094
IN,2021,37.17654113687144
KS,2003,6.208588867269383
KS,2004,6.5402302233674785
KS,2005,7.054822824373592
KS,2006,8.073358397104379
KS,2007,8.379083577011155
KS,2008,8.414842959627872
KS,2009,8.485860376873122
KS,2010,8.736421431927154
KS,2011,9.338420603318772
KS,2012,9.310153051904628
KS,2013,9.806447856626079
KS,2014,10.423073797814576
KS,2015,11.532001277856969
KS,2016,13.914319107177983
KS,2017,15.274169122839323
KS,2018,14.58101836827628
KS,2019,15.236779308220907
KS,2020,19.74161802194725
KS,2021,22.78160057830383
KY,2003,14.303290134415146
KY,2004,15.050122700566146
KY,2005,16.208463403869995
KY,2006,18.52552232102045
KY,2007,19.186208274405452
KY,2008,19.242772700426446
KY,2009,19.374206625906805
KY,2010,19.936187302721848
KY,2011,21.31477939360536
KY,2012,21.24131615292175
KY,2013,22.359188718288976
KY,2014,23.746991389859886
KY,2015,26.256617716140838
KY,2016,31.633886436662248
KY,2017,34.66959345397579
KY,2018,33.06432450529123
KY,2019,34.48349069365177
KY,2020,44.61322175177357
KY,2021,51.48243135564557
LA,2003,11.240630934660638
LA,2004,11.859707427157808
LA,2005,12.805346518705475
LA,2006,13.9999431338926
LA,2007,14.641374085416315
LA,2008,14.780067221395324
LA,2009,14.942644965442529
LA,2010,15.422647767654132
LA,2011,16.547306030152676
LA,2012,16.532905032736377
LA,2013,17.457664165286076
LA,2014,18.581398725290782
LA,2015,20.598348217946526
LA,2016,24.879530353699558
LA,2017,27.33261238390876
LA,2018,26.137824184662712
LA,2019,27.332602011201548
LA,2020,35.45356901893046
LA,2021,40.91586753744718
MA,2003,11.272282537866102
MA,2004,11.877117381374898
MA,2005,12.812095865405128
MA,2006,14.656962871285305
MA,2007,15.1966302784115
MA,2008,15.246016185540906
MA,2009,15.354606622820349
MA,2010,15.810625029160994
MA,2011,16.905677436835315
MA,2012,16.86165134417743
MA,2013,17.756474461592713
MA,2014,18.8708798286647
MA,2015,20.883364893897507
MA,2016,25.18604116262992
MA,2017,27.636515597555785
MA,2018,26.3928546308418
MA,2019,27.551643858799345
MA,2020,35.67098780812827
MA,2021,41.184412391519324
MD,2003,12.601387482621393
MD,2004,13.239733301527782
MD,2005,14.245908717951696
MD,2006,16.287568853138602
MD,2007,16.87554509523459
MD,2008,16.90975513063141
MD,2009,16.993722287956768
MD,2010,17.457312097041335
MD,2011,18.60387006910845
