state_fips,state_abbr,year,imprisonment_rate,police_expenditure_per_capita_real_2024,has_death_penalty,executions_count,prisoners_total,police_expend_per_capita_nominal,population,has_imprisonment_rate,has_police_expenditure,police_expenditure_imputed_flag,sworn_officers_per_100k,has_sworn_officers
38,ND,2021,217.10153384997244,399.4032833583628,0,0,1689.0,345.01148491536384,777977.0,1,1,0,243.9660812594717,1
38,ND,2022,232.8916893427379,383.9828136672097,0,0,1817.0,358.2353551886653,780191.0,1,1,0,235.07064295794234,1
38,ND,2023,241.2742941869285,,0,0,1899.0,,787071.0,1,0,0,238.22501400763085,1
38,ND,2024,,,0,0,,,793387.0,0,0,0,243.5129388306085,1
31,NE,1979,,,1,0,,,1567344.0,0,0,0,162.05759552465827,1
31,NE,1980,,,1,0,,,1572296.0,0,0,0,130.0645679948305,1
31,NE,1981,,,1,0,,,1578515.0,0,0,0,132.84637776644504,1
31,NE,1982,108.04283781562545,,1,0,1709.0,,1581780.0,1,0,0,134.911302456726,1
31,NE,1983,105.85163224226832,,1,0,1677.0,,1584293.0,1,0,0,162.02810969940535,1
31,NE,1984,,,1,0,,,1588639.0,0,0,0,166.6206104722344,1
31,NE,1985,114.47221619220224,,1,0,1814.0,,1584664.0,1,0,0,167.92203268326912,1
31,NE,1986,124.05253526414045,,1,0,1953.0,,1574333.0,1,0,0,167.9441388829428,1
31,NE,1987,133.1591072594694,,1,0,2086.0,,1566547.0,1,0,0,171.39607046580792,1
31,NE,1988,137.19577187575766,,1,0,2156.0,,1571477.0,1,0,0,174.74006937422564,1
31,NE,1989,151.94962866634833,,1,0,2393.0,,1574864.0,1,0,0,178.17411535218278,1
31,NE,1990,152.0247187258013,,1,0,2403.0,,1580664.0,1,0,0,184.0998466467257,1
31,NE,1991,156.83883316937022,,1,0,2495.0,,1590805.0,1,0,0,185.6292883162927,1
31,NE,1992,160.07179204271577,,1,0,2565.0,,1602406.0,1,0,0,185.03425473943557,1
31,NE,1993,,,1,0,,,1612149.0,0,0,0,185.09455391530187,1
31,NE,1994,,,1,1,,,1621551.0,0,0,0,185.43974256745548,1
31,NE,1995,,,1,0,,,1635142.0,0,0,0,188.30168878299253,1
31,NE,1996,199.4954046867764,,1,1,3287.0,,1647657.0,1,0,0,192.6371811608848,1
31,NE,1997,205.42957243838015,,1,1,3402.0,,1656042.0,1,0,0,193.47335393667552,1
31,NE,1998,221.34284537552415,,1,0,3676.0,,1660772.0,1,0,0,195.69212390382305,1
31,NE,1999,221.36482700170703,,1,0,3688.0,,1666028.0,1,0,0,196.15516665986405,1
31,NE,2000,227.27007503705173,,1,0,3895.0,,1713820.0,1,0,0,195.3530709175993,1
31,NE,2001,228.91717582374133,,1,0,3937.0,,1719836.0,1,0,0,197.86770366476804,1
31,NE,2002,234.79828640067765,269.90372966384933,1,0,4058.0,154.7892370039322,1728292.0,1,1,0,202.33849372675448,1
31,NE,2003,232.36512613572768,275.279934783605,1,0,4040.0,,1738643.0,1,1,1,203.03190476710859,1
31,NE,2004,236.0849905966148,280.6561399033605,1,0,4130.0,,1749370.0,1,1,1,204.35928362782028,1
31,NE,2005,252.90988290073727,286.0323450231162,1,0,4455.0,,1761497.0,1,1,1,203.69038380423015,1
