event_time,beta,se,z,n,omitted,outcome,spec,tier
-3,-0.2328704317364838,0.1627412542810698,-1.430924400608921,3092,False,firearm_suicide_rate,eb,headline
-2,-0.41036403191682336,0.14395696837807753,-2.850602069078551,3092,False,firearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,headline
0,0.17679960297715988,0.1390238754511886,1.2717211515171318,3092,False,firearm_suicide_rate,eb,headline
1,0.06796039426338828,0.16912111292262447,0.401844530756377,3092,False,firearm_suicide_rate,eb,headline
2,0.4245297151265897,0.1982130156236589,2.141785259614997,3092,False,firearm_suicide_rate,eb,headline
3,0.4161552918844115,0.24248039770653637,1.716243027562444,3092,False,firearm_suicide_rate,eb,headline
4,0.15100852310783225,0.1323835458961324,1.1406895176105414,3092,False,firearm_suicide_rate,eb,headline
5,0.4065102862966753,0.18513946635440437,2.195697623533766,3092,False,firearm_suicide_rate,eb,headline
-5,-0.5031589015911405,0.22096610641144607,-2.277086335830357,3092,False,firearm_suicide_rate,eb,expanded
-4,-0.3881912509967154,0.2578729059357407,-1.5053588107214673,3092,False,firearm_suicide_rate,eb,expanded
-3,-0.2328704317364838,0.1627412542810698,-1.430924400608921,3092,False,firearm_suicide_rate,eb,expanded
-2,-0.41036403191682336,0.14395696837807753,-2.850602069078551,3092,False,firearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,eb,expanded
0,0.17679960297715988,0.1390238754511886,1.2717211515171318,3092,False,firearm_suicide_rate,eb,expanded
1,0.06796039426338828,0.16912111292262447,0.401844530756377,3092,False,firearm_suicide_rate,eb,expanded
2,0.4245297151265897,0.1982130156236589,2.141785259614997,3092,False,firearm_suicide_rate,eb,expanded
3,0.4161552918844115,0.24248039770653637,1.716243027562444,3092,False,firearm_suicide_rate,eb,expanded
4,0.15100852310783225,0.1323835458961324,1.1406895176105414,3092,False,firearm_suicide_rate,eb,expanded
5,0.4065102862966753,0.18513946635440437,2.195697623533766,3092,False,firearm_suicide_rate,eb,expanded
-5,0.04629500528492663,0.1430416989707185,0.32364691987057215,3092,False,nonfirearm_suicide_rate,unweighted,all
-4,0.010390055071862234,0.12599491153812709,0.08246408481915651,3092,False,nonfirearm_suicide_rate,unweighted,all
-3,0.07947564344150776,0.16126088152786597,0.4928389494619892,3092,False,nonfirearm_suicide_rate,unweighted,all
-2,-0.09706427388762146,0.1595713333064013,-0.6082813991485754,3092,False,nonfirearm_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,unweighted,all
0,-0.012388071175813484,0.1689296394174544,-0.07333272727351542,3092,False,nonfirearm_suicide_rate,unweighted,all
1,-0.1913877184327626,0.11622559186511205,-1.646691708439579,3092,False,nonfirearm_suicide_rate,unweighted,all
2,-0.06153420450854886,0.14128407263617282,-0.4355353251106262,3092,False,nonfirearm_suicide_rate,unweighted,all
3,-0.005431724731447967,0.18280603739828677,-0.02971304891650626,3092,False,nonfirearm_suicide_rate,unweighted,all
4,0.11373020384194356,0.14934145900929674,0.7615447485005733,3092,False,nonfirearm_suicide_rate,unweighted,all
5,-0.0761854569760573,0.16376423741306867,-0.4652142505563768,3092,False,nonfirearm_suicide_rate,unweighted,all
-5,0.002183344339800955,0.15394139600965473,0.014182957907332622,3092,False,nonfirearm_suicide_rate,ra,minimal
-4,-0.031226304501929168,0.12749761050522126,-0.2449167821905995,3092,False,nonfirearm_suicide_rate,ra,minimal
-3,0.06021234870403245,0.16356485424114078,0.36812522459905994,3092,False,nonfirearm_suicide_rate,ra,minimal
-2,-0.12234798553904316,0.15431726159878595,-0.7928340891451232,3092,False,nonfirearm_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,ra,minimal
0,-0.012044500978837325,0.1757536076466662,-0.0685306045213678,3092,False,nonfirearm_suicide_rate,ra,minimal
1,-0.16528418710292622,0.1179410080807404,-1.4014140610853139,3092,False,nonfirearm_suicide_rate,ra,minimal
2,-0.05265164620090743,0.13935607185854182,-0.3778209696837128,3092,False,nonfirearm_suicide_rate,ra,minimal
3,0.018613765866870705,0.17913948633199855,0.10390654929295644,3092,False,nonfirearm_suicide_rate,ra,minimal
4,0.14803442683933604,0.15588892684335398,0.9496147663399429,3092,False,nonfirearm_suicide_rate,ra,minimal
5,-0.021319119126928854,0.1686650848510757,-0.1263991249033714,3092,False,nonfirearm_suicide_rate,ra,minimal
-5,0.02649059773588178,0.14436179940999566,0.18350143766667099,3092,False,nonfirearm_suicide_rate,eb,minimal
-4,0.009960723340440052,0.13015346876796227,0.07653060217855615,3092,False,nonfirearm_suicide_rate,eb,minimal
-3,0.09639007995548447,0.16430843481392624,0.586641094017133,3092,False,nonfirearm_suicide_rate,eb,minimal
-2,-0.10392344339666511,0.1608855690076144,-0.6459463333951762,3092,False,nonfirearm_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,minimal
0,-0.005903927677137452,0.1694949724634889,-0.034832464888651625,3092,False,nonfirearm_suicide_rate,eb,minimal
1,-0.17579187580405134,0.12342054906263415,-1.4243323104553642,3092,False,nonfirearm_suicide_rate,eb,minimal
2,-0.06284399569547114,0.14351280426824747,-0.43789817930117275,3092,False,nonfirearm_suicide_rate,eb,minimal
3,0.011863551742355738,0.18677064006753755,0.06351936116975235,3092,False,nonfirearm_suicide_rate,eb,minimal
4,0.07776481252024929,0.14718255238327102,0.5283561893786546,3092,False,nonfirearm_suicide_rate,eb,minimal
5,-0.05437601192510601,0.17329884416054503,-0.31377019384348437,3092,False,nonfirearm_suicide_rate,eb,minimal
-5,0.04629500528492663,0.1430416989707185,0.32364691987057215,3092,False,nonfirearm_suicide_rate,eb,headline
-4,0.010390055071862234,0.12599491153812709,0.08246408481915651,3092,False,nonfirearm_suicide_rate,eb,headline
-3,0.07947564344150776,0.16126088152786597,0.4928389494619892,3092,False,nonfirearm_suicide_rate,eb,headline
-2,-0.09706427388762146,0.1595713333064013,-0.6082813991485754,3092,False,nonfirearm_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,headline
0,-0.012388071175813484,0.1689296394174544,-0.07333272727351542,3092,False,nonfirearm_suicide_rate,eb,headline
1,-0.1913877184327626,0.11622559186511205,-1.646691708439579,3092,False,nonfirearm_suicide_rate,eb,headline
2,-0.06153420450854886,0.14128407263617282,-0.4355353251106262,3092,False,nonfirearm_suicide_rate,eb,headline
3,-0.005431724731447967,0.18280603739828677,-0.02971304891650626,3092,False,nonfirearm_suicide_rate,eb,headline
4,0.11373020384194356,0.14934145900929674,0.7615447485005733,3092,False,nonfirearm_suicide_rate,eb,headline
5,-0.0761854569760573,0.16376423741306867,-0.4652142505563768,3092,False,nonfirearm_suicide_rate,eb,headline
-5,0.04629500528492663,0.1430416989707185,0.32364691987057215,3092,False,nonfirearm_suicide_rate,eb,expanded
-4,0.010390055071862234,0.12599491153812709,0.08246408481915651,3092,False,nonfirearm_suicide_rate,eb,expanded
-3,0.07947564344150776,0.16126088152786597,0.4928389494619892,3092,False,nonfirearm_suicide_rate,eb,expanded
-2,-0.09706427388762146,0.1595713333064013,-0.6082813991485754,3092,False,nonfirearm_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,nonfirearm_suicide_rate,eb,expanded
0,-0.012388071175813484,0.1689296394174544,-0.07333272727351542,3092,False,nonfirearm_suicide_rate,eb,expanded
1,-0.1913877184327626,0.11622559186511205,-1.646691708439579,3092,False,nonfirearm_suicide_rate,eb,expanded
2,-0.06153420450854886,0.14128407263617282,-0.4355353251106262,3092,False,nonfirearm_suicide_rate,eb,expanded
3,-0.005431724731447967,0.18280603739828677,-0.02971304891650626,3092,False,nonfirearm_suicide_rate,eb,expanded
4,0.11373020384194356,0.14934145900929674,0.7615447485005733,3092,False,nonfirearm_suicide_rate,eb,expanded
5,-0.0761854569760573,0.16376423741306867,-0.4652142505563768,3092,False,nonfirearm_suicide_rate,eb,expanded
-5,-0.4568638963062145,0.284070310031476,-1.6082775290933866,3092,False,total_suicide_rate,unweighted,all
-4,-0.3778011959248532,0.3054222502718129,-1.2369799370825998,3092,False,total_suicide_rate,unweighted,all
-3,-0.15339478829497602,0.1714293992603713,-0.8947986107213509,3092,False,total_suicide_rate,unweighted,all
-2,-0.5074283058044445,0.2148168702220035,-2.362143649518962,3092,False,total_suicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,total_suicide_rate,unweighted,all
0,0.16441153180134657,0.17729631248717026,0.9273262906313628,3092,False,total_suicide_rate,unweighted,all
1,-0.12342732416937416,0.23269862324205562,-0.5304170796102379,3092,False,total_suicide_rate,unweighted,all
2,0.36299551061804075,0.280687761269124,1.2932359750092557,3092,False,total_suicide_rate,unweighted,all
3,0.4107235671529634,0.3356122506949283,1.2238038578821466,3092,False,total_suicide_rate,unweighted,all
4,0.26473872694977585,0.20702496822826258,1.2787768026988848,3092,False,total_suicide_rate,unweighted,all
5,0.3303248293206173,0.24492244832731702,1.3486915208326171,3092,False,total_suicide_rate,unweighted,all
-5,-0.5268089162758459,0.29520028804009973,-1.7845813084175741,3092,False,total_suicide_rate,ra,minimal
-4,-0.4531000623467184,0.31457519227174563,-1.440355353753732,3092,False,total_suicide_rate,ra,minimal
-3,-0.18693354645600344,0.17047021784691804,-1.0965759815234672,3092,False,total_suicide_rate,ra,minimal
-2,-0.5277448229455077,0.2151151420801362,-2.4533132249189062,3092,False,total_suicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,total_suicide_rate,ra,minimal
0,0.1723040924995976,0.18091373770410854,0.9524102187386546,3092,False,total_suicide_rate,ra,minimal
1,-0.09190279760467061,0.237591003121713,-0.38681093306210207,3092,False,total_suicide_rate,ra,minimal
2,0.36852574649644027,0.28057396805614626,1.3134709148166368,3092,False,total_suicide_rate,ra,minimal
3,0.45193763474272214,0.33842672087794334,1.3354076580309908,3092,False,total_suicide_rate,ra,minimal
4,0.31373812892104047,0.2053644057654331,1.527714248979405,3092,False,total_suicide_rate,ra,minimal
5,0.4005176418588493,0.24695159520546694,1.621846749058711,3092,False,total_suicide_rate,ra,minimal
-5,-0.44790461065995607,0.28183352248701626,-1.5892524306812739,3092,False,total_suicide_rate,eb,minimal
-4,-0.38668938313477336,0.3058753688060553,-1.2642056947709293,3092,False,total_suicide_rate,eb,minimal
-3,-0.12358683719813897,0.17899554584648344,-0.6904464388411873,3092,False,total_suicide_rate,eb,minimal
-2,-0.5205953530414679,0.2132569538227322,-2.441164725039671,3092,False,total_suicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,total_suicide_rate,eb,minimal
0,0.22754917124529236,0.17679228993942522,1.287098952806472,3092,False,total_suicide_rate,eb,minimal
1,-0.08287965249048027,0.2368372905811499,-0.3499434243953335,3092,False,total_suicide_rate,eb,minimal
2,0.29899448963240394,0.2915996472639498,1.0253595724063427,3092,False,total_suicide_rate,eb,minimal
3,0.45143880858228,0.3428156080665118,1.3168560531079834,3092,False,total_suicide_rate,eb,minimal
4,0.2071870671045158,0.2064385634532078,1.0036257937411857,3092,False,total_suicide_rate,eb,minimal
5,0.3105052821545924,0.2402587979770905,1.292378405157093,3092,False,total_suicide_rate,eb,minimal
-5,-0.4568638963062145,0.284070310031476,-1.6082775290933866,3092,False,total_suicide_rate,eb,headline
-4,-0.3778011959248532,0.3054222502718129,-1.2369799370825998,3092,False,total_suicide_rate,eb,headline
-3,-0.15339478829497602,0.1714293992603713,-0.8947986107213509,3092,False,total_suicide_rate,eb,headline
-2,-0.5074283058044445,0.2148168702220035,-2.362143649518962,3092,False,total_suicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,total_suicide_rate,eb,headline
0,0.16441153180134657,0.17729631248717026,0.9273262906313628,3092,False,total_suicide_rate,eb,headline
1,-0.12342732416937416,0.23269862324205562,-0.5304170796102379,3092,False,total_suicide_rate,eb,headline
2,0.36299551061804075,0.280687761269124,1.2932359750092557,3092,False,total_suicide_rate,eb,headline
3,0.4107235671529634,0.3356122506949283,1.2238038578821466,3092,False,total_suicide_rate,eb,headline
4,0.26473872694977585,0.20702496822826258,1.2787768026988848,3092,False,total_suicide_rate,eb,headline
5,0.3303248293206173,0.24492244832731702,1.3486915208326171,3092,False,total_suicide_rate,eb,headline
-5,-0.4568638963062145,0.284070310031476,-1.6082775290933866,3092,False,total_suicide_rate,eb,expanded
-4,-0.3778011959248532,0.3054222502718129,-1.2369799370825998,3092,False,total_suicide_rate,eb,expanded
-3,-0.15339478829497602,0.1714293992603713,-0.8947986107213509,3092,False,total_suicide_rate,eb,expanded
-2,-0.5074283058044445,0.2148168702220035,-2.362143649518962,3092,False,total_suicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,total_suicide_rate,eb,expanded
0,0.16441153180134657,0.17729631248717026,0.9273262906313628,3092,False,total_suicide_rate,eb,expanded
1,-0.12342732416937416,0.23269862324205562,-0.5304170796102379,3092,False,total_suicide_rate,eb,expanded
2,0.36299551061804075,0.280687761269124,1.2932359750092557,3092,False,total_suicide_rate,eb,expanded
3,0.4107235671529634,0.3356122506949283,1.2238038578821466,3092,False,total_suicide_rate,eb,expanded
4,0.26473872694977585,0.20702496822826258,1.2787768026988848,3092,False,total_suicide_rate,eb,expanded
5,0.3303248293206173,0.24492244832731702,1.3486915208326171,3092,False,total_suicide_rate,eb,expanded
-5,-0.05421601161697903,0.18453674217261454,-0.2937952137806015,3086,False,firearm_homicide_rate,unweighted,all
-4,-0.09498387770987843,0.15938861607915003,-0.5959263594001647,3086,False,firearm_homicide_rate,unweighted,all
-3,-0.07390152648887244,0.1369791456819869,-0.5395093254592452,3086,False,firearm_homicide_rate,unweighted,all
-2,-0.10265818623207022,0.10866313565709058,-0.9447379335346051,3086,False,firearm_homicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,unweighted,all
0,0.004884471229341377,0.10872740593849534,0.04492401145029077,3086,False,firearm_homicide_rate,unweighted,all
1,0.29245656547406673,0.1275034588300464,2.293714760035583,3086,False,firearm_homicide_rate,unweighted,all
2,0.23566726762428683,0.1372497389346733,1.717068968243774,3086,False,firearm_homicide_rate,unweighted,all
3,0.060742188707576014,0.16335491641257358,0.37184181560941765,3086,False,firearm_homicide_rate,unweighted,all
4,-0.030910847015742458,0.19407034446435564,-0.1592765092526528,3086,False,firearm_homicide_rate,unweighted,all
5,-0.028302817797460394,0.14817766518269426,-0.19100596410778034,3086,False,firearm_homicide_rate,unweighted,all
-5,-0.08959384147981748,0.18413737293325189,-0.4865597898602281,3086,False,firearm_homicide_rate,ra,minimal
-4,-0.16328583770656657,0.15499425145623796,-1.0534960888705587,3086,False,firearm_homicide_rate,ra,minimal
-3,-0.10168936430384902,0.13641030731702364,-0.7454668661329118,3086,False,firearm_homicide_rate,ra,minimal
-2,-0.09537163506746821,0.11319555380349158,-0.8425387028277997,3086,False,firearm_homicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,ra,minimal
