event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero,source_file
5,1.0,0.2970794784731712,0.0935082257525828,0.0887250084742579,0.0980772682890393,-0.2352705723723767,1.167859397731689,-1.4031299701040654,0.932588825359312,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
5,2.0,0.2970794784731712,0.0935082257525828,0.0887250084742579,0.0980772682890393,-0.7676206232179246,2.3140466460882783,-3.0816672693062026,1.5464260228703537,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
0,0.0,-0.151274717192019,0.2083384701929057,0.0088818771972502,0.0359452587017427,-0.151274717192019,0.4083434015780951,-0.5596181187701141,0.2570686843860761,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
0,0.5,-0.151274717192019,0.2083384701929057,0.0088818771972502,0.0359452587017427,-0.1557156557906441,0.4098600121934665,-0.5655756679841106,0.2541443564028225,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
0,1.0,-0.151274717192019,0.2083384701929057,0.0088818771972502,0.0359452587017427,-0.1601565943892692,0.4143765407739749,-0.5745331351632441,0.2542199463847057,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
0,2.0,-0.151274717192019,0.2083384701929057,0.0088818771972502,0.0359452587017427,-0.1690384715865194,0.4319706811093948,-0.6010091526959143,0.2629322095228753,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
1,0.0,0.1627456864234148,0.1889290619389806,0.0088818771972502,0.0359452587017427,0.1627456864234148,0.370300961400402,-0.2075552749769871,0.5330466478238167,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
1,0.5,0.1627456864234148,0.1889290619389806,0.0088818771972502,0.0359452587017427,0.1538638092261645,0.3769434784493535,-0.2230796692231889,0.5308072876755181,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
1,1.0,0.1627456864234148,0.1889290619389806,0.0088818771972502,0.0359452587017427,0.1449819320289143,0.3962034045030494,-0.251221472474135,0.5411853365319638,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
1,2.0,0.1627456864234148,0.1889290619389806,0.0088818771972502,0.0359452587017427,0.1272181776344139,0.4653387421191597,-0.3381205644847458,0.5925569197535737,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
2,0.0,-0.2010622564363056,0.1134784601247118,0.0088818771972502,0.0359452587017427,-0.2010622564363056,0.2224177818444351,-0.4234800382807407,0.0213555254081295,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
2,0.5,-0.2010622564363056,0.1134784601247118,0.0088818771972502,0.0359452587017427,-0.2143850722321809,0.2462473015615202,-0.4606323737937011,0.0318622293293393,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
2,1.0,-0.2010622564363056,0.1134784601247118,0.0088818771972502,0.0359452587017427,-0.2277078880280562,0.3068255612942391,-0.5345334493222954,0.0791176732661829,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
2,2.0,-0.2010622564363056,0.1134784601247118,0.0088818771972502,0.0359452587017427,-0.2543535196198069,0.4776595976344487,-0.7320131172542557,0.2233060780146418,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
3,0.0,-0.0370304294956262,0.2207160295364441,0.0088818771972502,0.0359452587017427,-0.0370304294956262,0.4326034178914304,-0.4696338473870566,0.3955729883958042,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
3,0.5,-0.0370304294956262,0.2207160295364441,0.0088818771972502,0.0359452587017427,-0.0547941838901266,0.4549725847752725,-0.5097667686653992,0.4001784008851459,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
3,1.0,-0.0370304294956262,0.2207160295364441,0.0088818771972502,0.0359452587017427,-0.072557938284627,0.5162974530968824,-0.5888553913815094,0.4437395148122552,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
3,2.0,-0.0370304294956262,0.2207160295364441,0.0088818771972502,0.0359452587017427,-0.1080854470736279,0.7105034051876649,-0.8185888522612929,0.6024179581140369,True,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
4,0.0,-0.8542395436393605,0.1544434469714421,0.0088818771972502,0.0359452587017427,-0.8542395436393605,0.3027091560640265,-1.156948699703387,-0.5515303875753339,False,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
4,0.5,-0.8542395436393605,0.1544434469714421,0.0088818771972502,0.0359452587017427,-0.876444236632486,0.3502216908423459,-1.226665927474832,-0.5262225457901402,False,cs21_magazine_ban_strict_or_firearm_suicide_rate_bounds.csv
