estimator,policy,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,age21_handgun,broad,ra,1,2.0,0.0335021500950507,0.1092942930539879,0.2951837702011073,0.0788893144286444,-1.1472329307093787,0.6545391325965195,-1.8017720633058985,-0.4926937981128592,False
cs21,age21_handgun,broad,ra,2,0.0,0.4274530229161223,0.191309838153582,0.2951837702011073,0.0788893144286444,0.4274530229161223,0.3749672827810207,0.0524857401351016,0.8024203056971431,False
cs21,age21_handgun,broad,ra,2,0.5,0.4274530229161223,0.191309838153582,0.2951837702011073,0.0788893144286444,-0.0153226323855387,0.4409014794785334,-0.4562241118640722,0.4255788470929946,True
cs21,age21_handgun,broad,ra,2,1.0,0.4274530229161223,0.191309838153582,0.2951837702011073,0.0788893144286444,-0.4580982876871998,0.5964688331814939,-1.0545671208686938,0.138370545494294,True
cs21,age21_handgun,broad,ra,2,2.0,0.4274530229161223,0.191309838153582,0.2951837702011073,0.0788893144286444,-1.343649598290522,1.0006492324281395,-2.3442988307186616,-0.3430003658623826,False
cs21,age21_handgun,broad,ra,3,0.0,0.1660802798193918,0.1861806548179613,0.2951837702011073,0.0788893144286444,0.1660802798193918,0.3649140834432041,-0.1988338036238123,0.530994363262596,True
cs21,age21_handgun,broad,ra,3,0.5,0.1660802798193918,0.1861806548179613,0.2951837702011073,0.0788893144286444,-0.4242872605828229,0.4783256698410017,-0.9026129304238246,0.0540384092581787,True
cs21,age21_handgun,broad,ra,3,1.0,0.1660802798193918,0.1861806548179613,0.2951837702011073,0.0788893144286444,-1.0146548009850376,0.7181190157834499,-1.7327738167684874,-0.2965357852015876,False
cs21,age21_handgun,broad,ra,3,2.0,0.1660802798193918,0.1861806548179613,0.2951837702011073,0.0788893144286444,-2.1953898817894677,1.2896871009797617,-3.485076982769229,-0.9057027808097058,False
cs21,age21_handgun,broad,ra,4,0.0,-0.4540573334450331,0.3087821121841786,0.2951837702011073,0.0788893144286444,-0.4540573334450331,0.6052129398809901,-1.0592702733260233,0.151155606435957,True
cs21,age21_handgun,broad,ra,4,0.5,-0.4540573334450331,0.3087821121841786,0.2951837702011073,0.0788893144286444,-1.1920167589478017,0.718129175137188,-1.9101459340849891,-0.4738875838106134,False
cs21,age21_handgun,broad,ra,4,1.0,-0.4540573334450331,0.3087821121841786,0.2951837702011073,0.0788893144286444,-1.9299761844505696,0.981829894093014,-2.9118060785435835,-0.948146290357556,False
cs21,age21_handgun,broad,ra,4,2.0,-0.4540573334450331,0.3087821121841786,0.2951837702011073,0.0788893144286444,-3.4058950354561066,1.6604552556273902,-5.066350291083497,-1.7454397798287165,False
cs21,age21_handgun,broad,ra,5,0.0,-0.073940899592046,0.1419603327654119,0.2951837702011073,0.0788893144286444,-0.073940899592046,0.2782422522202073,-0.3521831518122533,0.2043013526281613,True
cs21,age21_handgun,broad,ra,5,0.5,-0.073940899592046,0.1419603327654119,0.2951837702011073,0.0788893144286444,-0.959492210195368,0.5409189927533367,-1.500411202948705,-0.4185732174420314,False
cs21,age21_handgun,broad,ra,5,1.0,-0.073940899592046,0.1419603327654119,0.2951837702011073,0.0788893144286444,-1.8450435207986904,0.9685644914632257,-2.813608012261916,-0.8764790293354648,False
cs21,age21_handgun,broad,ra,5,2.0,-0.073940899592046,0.1419603327654119,0.2951837702011073,0.0788893144286444,-3.616146142005335,1.876222919519945,-5.49236906152528,-1.7399232224853896,False
cs21,age21_handgun,strict,or,0,0.0,0.6318721256025872,0.2525290559456979,0.2066043088545933,0.0836024863349569,0.6318721256025872,0.4949569496535679,0.1369151759490193,1.1268290752561552,False
cs21,age21_handgun,strict,or,0,0.5,0.6318721256025872,0.2525290559456979,0.2066043088545933,0.0836024863349569,0.5285699711752905,0.5016921151993365,0.0268778559759539,1.030262086374627,False
cs21,age21_handgun,strict,or,0,1.0,0.6318721256025872,0.2525290559456979,0.2066043088545933,0.0836024863349569,0.4252678167479938,0.5213758411948558,-0.0961080244468619,0.9466436579428495,True
cs21,age21_handgun,strict,or,0,2.0,0.6318721256025872,0.2525290559456979,0.2066043088545933,0.0836024863349569,0.2186635078934005,0.5936193435994825,-0.374955835706082,0.812282851492883,True
cs21,age21_handgun,strict,or,1,0.0,0.0416156565970181,0.2286057279307893,0.2066043088545933,0.0836024863349569,0.0416156565970181,0.448067226744347,-0.4064515701473289,0.4896828833413651,True
cs21,age21_handgun,strict,or,1,0.5,0.0416156565970181,0.2286057279307893,0.2066043088545933,0.0836024863349569,-0.1649886522575752,0.4770897457016332,-0.6420783979592085,0.312101093444058,True
cs21,age21_handgun,strict,or,1,1.0,0.0416156565970181,0.2286057279307893,0.2066043088545933,0.0836024863349569,-0.3715929611121686,0.5551268168333124,-0.926719777945481,0.1835338557211438,True
cs21,age21_handgun,strict,or,1,2.0,0.0416156565970181,0.2286057279307893,0.2066043088545933,0.0836024863349569,-0.7848015788213554,0.7939586966730915,-1.5787602754944468,0.0091571178517361,True
cs21,age21_handgun,strict,or,2,0.0,0.3828092098398524,0.330305401192953,0.2066043088545933,0.0836024863349569,0.3828092098398524,0.6473985863381878,-0.2645893764983354,1.0302077961780405,True
cs21,age21_handgun,strict,or,2,0.5,0.3828092098398524,0.330305401192953,0.2066043088545933,0.0836024863349569,0.0729027465579623,0.6924870378411871,-0.6195842912832248,0.7653897843991495,True
cs21,age21_handgun,strict,or,2,1.0,0.3828092098398524,0.330305401192953,0.2066043088545933,0.0836024863349569,-0.2370037167239276,0.8128827723197208,-1.0498864890436486,0.5758790555957931,True
cs21,age21_handgun,strict,or,2,2.0,0.3828092098398524,0.330305401192953,0.2066043088545933,0.0836024863349569,-0.8568166432877078,1.17717408116163,-2.033990724449338,0.3203574378739222,True
cs21,age21_handgun,strict,or,3,0.0,0.094509581255258,0.344374321833749,0.2066043088545933,0.0836024863349569,0.094509581255258,0.674973670794148,-0.5804640895388901,0.769483252049406,True
cs21,age21_handgun,strict,or,3,0.5,0.094509581255258,0.344374321833749,0.2066043088545933,0.0836024863349569,-0.3186990364539287,0.7503272615002357,-1.0690262979541645,0.4316282250463069,True
cs21,age21_handgun,strict,or,3,1.0,0.094509581255258,0.344374321833749,0.2066043088545933,0.0836024863349569,-0.7319076541631154,0.9408483557969324,-1.6727560099600476,0.2089407016338168,True
cs21,age21_handgun,strict,or,3,2.0,0.094509581255258,0.344374321833749,0.2066043088545933,0.0836024863349569,-1.5583248895814887,1.4744538465571526,-3.032778736138641,-0.0838710430243361,False
cs21,age21_handgun,strict,or,4,0.0,-0.4012059681663696,0.5249071606442095,0.2066043088545933,0.0836024863349569,-0.4012059681663696,1.0288180348626506,-1.43002400302902,0.627612066696281,True
cs21,age21_handgun,strict,or,4,0.5,-0.4012059681663696,0.5249071606442095,0.2066043088545933,0.0836024863349569,-0.917716740302853,1.1073759343281486,-2.0250926746310016,0.1896591940252956,True
cs21,age21_handgun,strict,or,4,1.0,-0.4012059681663696,0.5249071606442095,0.2066043088545933,0.0836024863349569,-1.4342275124393364,1.315190553927689,-2.749418066367025,-0.1190369585116475,False
cs21,age21_handgun,strict,or,4,2.0,-0.4012059681663696,0.5249071606442095,0.2066043088545933,0.0836024863349569,-2.4672490567123035,1.934813977101299,-4.402063033813603,-0.5324350796110044,False
