estimator,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,broad,or,5,2.0,0.2889929334689336,0.2006798619618494,0.0376418572497937,0.0609970321030081,-0.1627093535285909,1.487592572216389,-1.65030192574498,1.324883218687798,True
cs21,broad,ra,0,0.0,0.1129984815088723,0.0788445911601715,0.041655978058519,0.0294604769284336,0.1129984815088723,0.1545353986739361,-0.0415369171650638,0.2675338801828084,True
cs21,broad,ra,0,0.5,0.1129984815088723,0.0788445911601715,0.041655978058519,0.0294604769284336,0.0921704924796128,0.1572092221341021,-0.0650387296544893,0.2493797146137149,True
cs21,broad,ra,0,1.0,0.1129984815088723,0.0788445911601715,0.041655978058519,0.0294604769284336,0.0713425034503533,0.1649708755086809,-0.0936283720583276,0.2363133789590342,True
cs21,broad,ra,0,2.0,0.1129984815088723,0.0788445911601715,0.041655978058519,0.0294604769284336,0.0296865253918343,0.1929196483888192,-0.1632331229969849,0.2226061737806535,True
cs21,broad,ra,1,0.0,-0.0815453483381873,0.1147818431095507,0.041655978058519,0.0294604769284336,-0.0815453483381873,0.2249724124947193,-0.3065177608329066,0.143427064156532,True
cs21,broad,ra,1,0.5,-0.0815453483381873,0.1147818431095507,0.041655978058519,0.0294604769284336,-0.1232013263967063,0.2322644757738093,-0.3554658021705157,0.109063149377103,True
cs21,broad,ra,1,1.0,-0.0815453483381873,0.1147818431095507,0.041655978058519,0.0294604769284336,-0.1648573044552252,0.2528821616382765,-0.4177394660935018,0.0880248571830512,True
cs21,broad,ra,1,2.0,-0.0815453483381873,0.1147818431095507,0.041655978058519,0.0294604769284336,-0.2481692605722633,0.32242796334733,-0.5705972239195933,0.0742587027750667,True
cs21,broad,ra,2,0.0,0.2577813161460839,0.0855561801043955,0.041655978058519,0.0294604769284336,0.2577813161460839,0.1676901130046151,0.0900912031414687,0.4254714291506991,False
cs21,broad,ra,2,0.5,0.2577813161460839,0.0855561801043955,0.041655978058519,0.0294604769284336,0.1952973490583054,0.1887377141055128,0.0065596349527925,0.3840350631638183,False
cs21,broad,ra,2,1.0,0.2577813161460839,0.0855561801043955,0.041655978058519,0.0294604769284336,0.1328133819705269,0.2410970279878941,-0.1082836460173672,0.373910409958421,True
cs21,broad,ra,2,2.0,0.2577813161460839,0.0855561801043955,0.041655978058519,0.0294604769284336,0.0078454477949699,0.3849041252310501,-0.3770586774360802,0.39274957302602,True
cs21,broad,ra,3,0.0,0.115881454363885,0.1331376854008313,0.041655978058519,0.0294604769284336,0.115881454363885,0.2609498633856293,-0.1450684090217443,0.3768313177495143,True
cs21,broad,ra,3,0.5,0.115881454363885,0.1331376854008313,0.041655978058519,0.0294604769284336,0.032569498246847,0.2853622828828853,-0.2527927846360382,0.3179317811297323,True
cs21,broad,ra,3,1.0,0.115881454363885,0.1331376854008313,0.041655978058519,0.0294604769284336,-0.0507424578701909,0.3484853459840049,-0.3992278038541959,0.2977428881138139,True
cs21,broad,ra,3,2.0,0.115881454363885,0.1331376854008313,0.041655978058519,0.0294604769284336,-0.217366370104267,0.5305503292425994,-0.7479166993468663,0.3131839591383324,True
cs21,broad,ra,4,0.0,-0.1577953547439872,0.1015723516548325,0.041655978058519,0.0294604769284336,-0.1577953547439872,0.1990818092434716,-0.3568771639874589,0.0412864544994844,True
cs21,broad,ra,4,0.5,-0.1577953547439872,0.1015723516548325,0.041655978058519,0.0294604769284336,-0.2619352998902847,0.2459112010240302,-0.5078465009143149,-0.0160240988662544,False
