state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,firearm_suicides,total_suicides,firearm_homicides,total_homicides,fss,per_capita_alcohol_ethanol_14plus,nonfirearm_suicides,firearm_suicide_rate,nonfirearm_suicide_rate,total_suicide_rate,firearm_suicide_share,ln_firearm_suicide_rate,ln_nonfirearm_suicide_rate,ln_total_suicide_rate,logit_firearm_suicide_share,stack_id,treated_unit_state,treated_unit_abbr,adoption_year,treated_state,event_time,post,state_stack_fe,year_stack_fe
Louisiana,LA,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4652145.0,29704.0,638.5011645165831,133989.0,2880.155283208069,8.683333333333334,50133.0,60754.41704308288,15.352838961524446,11.014595067087772,406,641,747.0,873,0.633385335,2.5916,235,8.727157042611527,5.051433263580563,13.77859030619209,0.6333853354134166,2.167584855586321,1.6216496968626746,2.623841460777918,0.5458730155313929,AL_2023,Alabama,AL,2023,0,-3,0,LA_AL_2023,2020_AL_2023
Louisiana,LA,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4628595.0,30666.0,662.5336630230124,117013.0,2528.0457676681585,5.608333333333333,54948.0,63611.7264713236,15.34776392428687,11.06055311081252,463,689,804.0,943,0.67199,2.7586,226,10.003035478368705,4.882691183825761,14.885726662194466,0.6719883889695211,2.3038877919500593,1.58774249644352,2.7010743706210834,0.7160614400828211,AL_2023,Alabama,AL,2023,0,-2,0,LA_AL_2023,2021_AL_2023
Louisiana,LA,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4600892.0,29364.0,638.224066115875,126655.0,2752.8357544580485,3.633333333333333,55661.0,59669.09568086956,15.341760755704096,10.996569505061409,488,726,740.0,862,0.67218,2.7804,238,10.606638886546348,5.172909948766456,15.779548835312804,0.6721763085399449,2.3624224766948037,1.6453666647109761,2.759348255048245,0.7169701611544416,AL_2023,Alabama,AL,2023,0,-1,0,LA_AL_2023,2022_AL_2023
Louisiana,LA,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4598777.0,25788.0,560.7577840804196,119435.0,2597.103534265741,3.716666666666667,58661.0,60392.73704175323,15.341300956544528,11.008624129039486,485,719,738.0,837,0.67455,2.6918,234,10.546282196331763,5.088309348333263,15.634591544665028,0.674547983310153,2.356721151547464,1.6289089844450895,2.750125269056481,0.7277236998450456,AL_2023,Alabama,AL,2023,0,0,0,LA_AL_2023,2023_AL_2023
Michigan,MI,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9987286.0,45176.0,452.3350988446712,166186.0,1663.975578550569,4.166666666666667,47089.0,58828.20543317158,16.116823442043632,10.982376703112624,806,1546,479.0,613,0.521345408,2.3658,740,8.070260529236872,7.409420337016483,15.479680866253355,0.5213454075032341,2.0894241157306213,2.0041009324317387,2.7401740516505866,0.08537826385741015,AL_2023,Alabama,AL,2023,0,-5,0,MI_AL_2023,2018_AL_2023
Michigan,MI,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9984795.0,43793.0,438.59688656602367,158317.0,1585.5808757215343,4.075,48577.0,59606.34406067349,16.1165739938251,10.995517291359716,742,1461,458.0,612,0.507871321,2.3797,719,7.431299290571314,7.200949043019912,14.632248333591226,0.5078713210130048,2.0070454694274167,1.9756005713474454,2.683911071440633,0.0314663443494321,AL_2023,Alabama,AL,2023,0,-4,0,MI_AL_2023,2019_AL_2023
Michigan,MI,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10072294.0,47641.0,472.9905620308541,135633.0,1346.5949266373675,10.075,52787.0,63970.70617065039,16.125299044113508,11.06618054147424,761,1443,672.0,811,0.527373527,2.5072,682,7.555379142030604,6.771049375643721,14.326428517674325,0.5273735273735274,2.0235824638999382,1.914131865144554,2.6628037468066563,0.10952764527610173,AL_2023,Alabama,AL,2023,0,-3,0,MI_AL_2023,2020_AL_2023
Michigan,MI,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10042362.0,49295.0,490.8705740741073,137199.0,1366.202492999157,5.691666666666666,56898.0,65869.18564397922,16.12232290352295,11.095426018479207,810,1485,701.0,822,0.54545,2.4962,675,8.06583152449593,6.721526270413276,14.787357794909205,0.5454545454545454,2.088875838976916,1.906801904038655,2.6944486374611616,0.18219818377547717,AL_2023,Alabama,AL,2023,0,-2,0,MI_AL_2023,2021_AL_2023
Michigan,MI,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10043906.0,46489.0,462.8577766458587,155469.0,1547.8938174053003,4.15,57907.0,62076.82800510436,16.12247664039463,11.03612805827309,842,1503,640.0,801,0.56021,2.3885,661,8.38319275389475,6.581105000385309,14.964297754280057,0.5602129075182968,2.127420990867566,1.885721012816895,2.7063352483630356,0.24186367867150643,AL_2023,Alabama,AL,2023,0,-1,0,MI_AL_2023,2022_AL_2023
Michigan,MI,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10062124.0,46461.0,461.74147724675225,157244.0,1562.7316856759069,3.9,60865.0,62661.801538437976,16.124288833551184,11.045507315105295,836,1529,518.0,637,0.54676,2.3031,693,8.308384989093755,6.8872138725382435,15.195598861631998,0.5467625899280576,2.1184681241031966,1.9311175434707972,2.721663706189438,0.18747528067199246,AL_2023,Alabama,AL,2023,0,0,0,MI_AL_2023,2023_AL_2023
Minnesota,MN,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,14,5608762.0,12403.0,221.13614376933805,112186.0,2000.1918426918453,3.025,56201.0,70211.81111405372,15.539840575784194,11.159271825349489,356,739,66.0,122,0.48173207,2.7885,383,6.347211737634794,6.828601391893613,13.175813129528406,0.4817320703653586,1.8495898751917446,1.9225832358572679,2.5791414887059902,-0.07300538095296023,AL_2023,Alabama,AL,2023,0,-5,0,MN_AL_2023,2018_AL_2023
Minnesota,MN,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,14,5640053.0,13395.0,237.4977681947315,117971.0,2091.664741448352,3.275,57903.0,71049.80011415231,15.545404020593208,11.171136320208866,350,830,102.0,154,0.421686747,2.7851,480,6.2056154436846604,8.510558322767535,14.716173766452195,0.42168674698795183,1.8270647455924978,2.1424818695354326,2.6896264388532876,-0.3154665219357024,AL_2023,Alabama,AL,2023,0,-4,0,MN_AL_2023,2019_AL_2023
Minnesota,MN,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,14,5710562.0,15698.0,274.8941347629182,120212.0,2105.0817765396823,6.291666666666667,61327.0,74320.03139650816,15.55782800060675,11.216135795937957,354,758,138.0,198,0.46701847,2.8309,404,6.19903960415805,7.074610169717096,13.273649773875146,0.46701846965699206,1.8260062308707155,1.9579248497117472,2.5865339386589064,-0.13194339052636422,AL_2023,Alabama,AL,2023,0,-3,0,MN_AL_2023,2020_AL_2023
