term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,stack_id,treated_state,adoption_year,outcome,controls_spec,model
post,0.025934827162673663,0.03015710549302608,0.8599905971967757,0.3897942256928594,-0.033173099603657455,0.08504275392900477,105,15,27,GA_2022,Georgia,2022,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.005731067467838583,0.03990480325384876,0.14361848701223281,0.8858017414783129,-0.07248234690970498,0.08394448184538214,105,15,27,GA_2022,Georgia,2022,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.5487511401089334,0.14719477760434077,3.728061205975495,0.0001929585210335808,0.26024937600442555,0.8372529042134413,120,15,28,IA_2021,Iowa,2021,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.4527396571284138,0.09860780777601787,4.591316522894279,4.404587524637716e-06,0.2594683538874188,0.6460109603694089,120,15,28,IA_2021,Iowa,2021,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,1.0014907972373537,0.17178722960449144,5.829832633910579,5.5482994932024454e-09,0.6647878272125505,1.3381937672621569,120,15,28,IA_2021,Iowa,2021,total_suicide_rate,core_controls,treated_state_average_post
post,0.003847452462944886,0.0041755436724642,0.921425511201589,0.35682831464763076,-0.004336613135084945,0.012031518060974716,120,15,28,IA_2021,Iowa,2021,firearm_suicide_share,core_controls,treated_state_average_post
post,0.07430009650566569,0.015893986269427802,4.674730130387898,2.943404132033025e-06,0.0431478834175872,0.10545230959374417,120,15,28,IA_2021,Iowa,2021,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.06437997419387856,0.014175661633254176,4.5415851379276635,5.583282962599074e-06,0.03659567739270038,0.09216427099505674,120,15,28,IA_2021,Iowa,2021,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.05938680083995458,0.010673772807128518,5.563805967491915,2.6395342837820778e-08,0.038466206137982684,0.08030739554192648,120,15,28,IA_2021,Iowa,2021,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.009759083081577045,0.01685201068273564,0.579104966481829,0.5625183491100572,-0.02327085785658481,0.0427890240197389,120,15,28,IA_2021,Iowa,2021,logit_firearm_suicide_share,core_controls,treated_state_average_post
