term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,cohort_year,treated_states,outcome,controls_spec,model
post,0.016814160314182692,0.2213892296694757,0.07594841148905702,0.9394601412528928,-0.41710872983798963,0.45073705046635504,252,28,42,2015,Kansas;Maine;Mississippi,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.20056688673784828,0.363754480100227,0.5513798391777475,0.5813733181747018,-0.5123918942585965,0.9135256677342931,252,28,42,2015,Kansas;Maine;Mississippi,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.21738104705203404,0.38319311632522945,0.5672884970812866,0.5705181908949313,-0.5336774609454156,0.9684395550494838,252,28,42,2015,Kansas;Maine;Mississippi,total_suicide_rate,core_controls,cohort_year_average_post
post,-0.0040890673871410285,0.014142736455008575,-0.2891284441415796,0.7724830874178064,-0.03180883083895784,0.02363069606467578,252,28,42,2015,Kansas;Maine;Mississippi,firearm_suicide_share,core_controls,cohort_year_average_post
post,-0.0061470150413212125,0.018060862178625972,-0.3403500331559954,0.7335929426362362,-0.04154630491142812,0.02925227482878569,252,28,42,2015,Kansas;Maine;Mississippi,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.006462426856728386,0.049037035149235554,0.13178665547501256,0.895153041873341,-0.08965016203577329,0.10257501574923007,252,28,42,2015,Kansas;Maine;Mississippi,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.004529115263780976,0.020386050492299978,0.22216737202194556,0.8241835927658473,-0.03542754370112698,0.044485774228688935,252,28,42,2015,Kansas;Maine;Mississippi,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,-0.01261740388576748,0.057554741790475816,-0.21922440259918624,0.8264752472665678,-0.12542469779510007,0.10018989002356513,252,28,42,2015,Kansas;Maine;Mississippi,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.912116157223164,0.06735209706754029,13.542505681872075,8.774405308721889e-42,0.780106046970785,1.044126267475543,234,26,40,2016,Idaho;West Virginia,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.010228303927962645,0.080136445700214,0.12763610662526964,0.8984369558576712,-0.14683912964445678,0.16729573750038207,234,26,40,2016,Idaho;West Virginia,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.9223444611511257,0.10624810183936867,8.681044133339656,3.921519348350906e-18,0.714098181545963,1.1305907407562883,234,26,40,2016,Idaho;West Virginia,total_suicide_rate,core_controls,cohort_year_average_post
post,0.009248589105278916,0.0037977425243002454,2.4352859747865656,0.014880024435227812,0.0018050137576504349,0.016692164452907395,234,26,40,2016,Idaho;West Virginia,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.0394034720828966,0.013710161769364463,2.8740340738315853,0.0040526523799412255,0.012531555014942256,0.06627538915085095,234,26,40,2016,Idaho;West Virginia,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.00013097509866462353,0.012799708194913289,-0.010232662859976304,0.9918356587661818,-0.02521840316069467,0.024956452963365423,234,26,40,2016,Idaho;West Virginia,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.025111946583629297,0.009757209353784256,2.573681231292821,0.010062293275335572,0.0059878162502121565,0.04423607691704644,234,26,40,2016,Idaho;West Virginia,ln_total_suicide_rate,core_controls,cohort_year_average_post
