term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,sample,outcome,controls_spec,controls,model,excluded_early_adopter
post,0.02361145478312292,0.011749581935267248,2.009557013450102,0.04447809474902325,0.0005822741899991178,0.04664063537624673,4149,39,681,exclude_Arizona,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,0.024459305829908722,0.015684278065490085,1.5594792267631508,0.11888299750149246,-0.006281879178451844,0.05520049083826929,4149,39,681,exclude_Arizona,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,0.025546819380639994,0.008992765589663632,2.8408190034446963,0.004499784325714606,0.007920998824899276,0.04317263993638071,4149,39,681,exclude_Arizona,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,-0.0007128107828844633,0.01956197279206715,-0.03643859392205705,0.9709326411011708,-0.03905427745533607,0.03762865588956715,4149,39,681,exclude_Arizona,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Arizona
post,0.40254605394441256,0.12766629420676823,3.1531114492322407,0.0016154012017524017,0.15232011729914685,0.6527719905896783,4149,39,676,exclude_Wyoming,firearm_suicide_rate,no_controls,,average_post,Wyoming
post,0.15454478719772613,0.11944032122295278,1.2939080003748964,0.19569720072878805,-0.07955824239926132,0.3886478167947136,4149,39,676,exclude_Wyoming,nonfirearm_suicide_rate,no_controls,,average_post,Wyoming
post,0.5570908411421982,0.16664765403272402,3.342926393868132,0.0008289988586038138,0.23046143923805912,0.8837202430463373,4149,39,676,exclude_Wyoming,total_suicide_rate,no_controls,,average_post,Wyoming
post,0.0018818696033215954,0.004876013286356521,0.38594431409512736,0.699537910446302,-0.007675116437937186,0.011438855644580376,4149,39,676,exclude_Wyoming,firearm_suicide_share,no_controls,,average_post,Wyoming
post,0.0253248755410711,0.012105590494516165,2.091998366584701,0.03643866181511934,0.0015979181718194166,0.049051832910322786,4149,39,676,exclude_Wyoming,ln_firearm_suicide_rate,no_controls,,average_post,Wyoming
post,0.016176840228046774,0.016234722657347,0.9964346524100286,0.3190390031954994,-0.015643216180353345,0.04799689663644689,4149,39,676,exclude_Wyoming,ln_nonfirearm_suicide_rate,no_controls,,average_post,Wyoming
post,0.02417583960276204,0.009215311501132813,2.623442473951116,0.008704614336073582,0.006113829060541726,0.04223785014498235,4149,39,676,exclude_Wyoming,ln_total_suicide_rate,no_controls,,average_post,Wyoming
post,0.009196492102957698,0.020075412918277448,0.45809728250146475,0.6468825512033376,-0.0301513172168661,0.048544301422781495,4149,39,676,exclude_Wyoming,logit_firearm_suicide_share,no_controls,,average_post,Wyoming
post,0.42394921537653213,0.12623963709694608,3.3582892435832905,0.0007842650145383096,0.17651952666651782,0.6713789040865464,4149,39,681,exclude_Wyoming,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.17157400179849006,0.1123350340191465,1.5273418777729377,0.12667602113370355,-0.04860266487903708,0.3917506684760172,4149,39,681,exclude_Wyoming,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.5955232171750379,0.1646223734438987,3.617510820167982,0.0002974498995263467,0.2728633652249964,0.9181830691250794,4149,39,681,exclude_Wyoming,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.001720638292817126,0.004527848048357925,0.3800123755127195,0.7039362287341654,-0.007153943881964407,0.01059522046759866,4149,39,681,exclude_Wyoming,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.02608574385633804,0.01158600874884026,2.2514866354601346,0.02435473241659799,0.003377166708611129,0.04879432100406495,4149,39,681,exclude_Wyoming,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.018051912113787694,0.015684353001225664,1.150950384270044,0.24975264798347385,-0.012689419768614606,0.04879324399618999,4149,39,681,exclude_Wyoming,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.02478612529892629,0.00934490852498489,2.652366819071283,0.007992965353624933,0.006470104589955904,0.04310214600789668,4149,39,681,exclude_Wyoming,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
post,0.008079498731826161,0.01860527692566032,0.43425845065939067,0.6641007721308678,-0.028386844042468065,0.044545841506120384,4149,39,681,exclude_Wyoming,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post,Wyoming
