outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
homicide_rate,ra,strict,expanded,-0.44605226822077876,0.17538012117942856,-2.5433456495587086,0.4424110486973727,0.21663297858007877,2.0422146784721176,24,20
homicide_rate,ra,strict,headline,-1.0405637672691448,0.13892809610386392,-7.489944773238739,0.1089953970035962,0.15602978094726794,0.6985550857142615,24,20
homicide_rate,ra,strict,minimal,-1.1237817153524954,0.11658204467327395,-9.639406466938718,0.4023091419333365,0.11933649241888178,3.3712164131755724,24,20
motor_vehicle_theft_rate,or,broad,all,38.593884686516446,9.2706326133768,4.163026008692059,2.99784357926814,6.3766319566589935,0.47012962323120283,24,20
motor_vehicle_theft_rate,or,strict,all,36.24426714648651,9.331766405010038,3.883966397511589,3.3189763516834137,6.41086212570063,0.5177113914800795,24,20
motor_vehicle_theft_rate,ra,broad,expanded,-21.262859135775592,8.45357493040788,-2.5152505668687164,-2.914137585686281,5.017156776513367,-0.5808344677065159,24,20
motor_vehicle_theft_rate,ra,broad,headline,-22.039918220200235,6.402834304661213,-3.442212803188636,-2.1022748364466395,4.9631975084495386,-0.42357267323487446,24,20
motor_vehicle_theft_rate,ra,broad,minimal,22.30284756912387,6.7850669410832305,3.287049009654021,5.5062414073584804,3.39695466906165,1.6209346146145318,24,20
motor_vehicle_theft_rate,ra,strict,expanded,-45.48394729836516,10.066472248363677,-4.518360173869119,38.11411310104326,7.367585908081864,5.173215972851302,24,20
motor_vehicle_theft_rate,ra,strict,headline,-25.015975943952864,6.856385212320541,-3.6485662881076975,11.73602950320552,5.433213233758678,2.1600531763202264,24,20
motor_vehicle_theft_rate,ra,strict,minimal,2.652454166729181,7.649224394502343,0.34676119171449005,-2.3735666057858094,4.205359427601918,-0.5644146824185542,24,20
nonfirearm_suicide_rate,or,broad,all,0.07711091360023774,0.05907819314537633,1.3052347997591514,0.026334368676307267,0.09687231895077421,0.27184616783757504,24,20
nonfirearm_suicide_rate,or,strict,all,0.03518009283892888,0.06137520683832121,0.5731971369416758,0.05406697406545374,0.0974228467016073,0.5549722256736493,24,20
nonfirearm_suicide_rate,ra,broad,expanded,-1.075449873517666,0.12703679944190138,-8.465656236951318,-0.36043940536336583,0.2098682331473319,-1.7174557576340284,24,20
nonfirearm_suicide_rate,ra,broad,headline,-0.3579820101891995,0.10989816456429817,-3.2573975335116248,0.7159015246677196,0.15178256918279356,4.716625423605466,24,20
nonfirearm_suicide_rate,ra,broad,minimal,0.14909236464265846,0.056749167590813006,2.6272167676128997,0.17760886089378491,0.0712690407879322,2.49208995841935,24,20
nonfirearm_suicide_rate,ra,strict,expanded,-1.134883701824546,0.18985438299733826,-5.977653419992189,-0.2469709898623626,0.3049424105978907,-0.809893872676269,24,20
nonfirearm_suicide_rate,ra,strict,headline,-0.529860910316335,0.17524416464295497,-3.0235580819246186,1.4538881668713082,0.24988087584676452,5.8183250796786945,24,20
