outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_burglary_rate,ra,broad,4,36.92090114386009,10.311274679799768,4,443,12
county_burglary_rate,ra,broad,5,20.380878883512686,9.699383791882662,3,423,10
county_burglary_rate,ra,strict,-5,-38.63786232021273,4.594900924633169,6,627,15
county_burglary_rate,ra,strict,-4,-18.65808337090519,4.136594333150708,6,627,15
county_burglary_rate,ra,strict,-3,-9.233845220824616,3.3685722265454623,6,627,15
county_burglary_rate,ra,strict,-2,-7.701571227904712,3.115610718096656,6,627,15
county_burglary_rate,ra,strict,0,16.247840368709028,3.204258907363903,6,627,15
county_burglary_rate,ra,strict,1,15.071516825121105,7.314120894529939,5,457,13
county_burglary_rate,ra,strict,2,-8.80165532166911,13.422874007399084,4,443,12
county_burglary_rate,ra,strict,3,20.750376268850825,15.87872135924923,4,443,12
county_burglary_rate,ra,strict,4,36.92090114386009,10.311274679799768,4,443,12
county_burglary_rate,ra,strict,5,20.380878883512686,9.699383791882662,3,423,10
county_motor_vehicle_theft_rate,or,broad,-5,-5.682164431900508,6.859894085349948,6,628,15
county_motor_vehicle_theft_rate,or,broad,-4,-5.456581948155468,7.497412918817907,6,628,15
county_motor_vehicle_theft_rate,or,broad,-3,0.05164930129505074,4.469763587536934,6,628,15
county_motor_vehicle_theft_rate,or,broad,-2,-0.6764366012394667,4.14025293990717,6,628,15
county_motor_vehicle_theft_rate,or,broad,0,5.521857142805097,3.0989501909264576,6,628,15
county_motor_vehicle_theft_rate,or,broad,1,4.75720998335314,8.11212744165162,5,458,13
county_motor_vehicle_theft_rate,or,broad,2,-7.0198634784124225,17.77428419767916,4,444,12
county_motor_vehicle_theft_rate,or,broad,3,3.355548406640862,14.528459181045841,4,444,12
county_motor_vehicle_theft_rate,or,broad,4,16.768696597571783,8.077178560612403,4,444,12
county_motor_vehicle_theft_rate,or,broad,5,-15.1076389930924,26.28242478405369,3,423,10
county_motor_vehicle_theft_rate,or,strict,-5,-5.682164431900508,6.859894085349948,6,628,15
county_motor_vehicle_theft_rate,or,strict,-4,-5.456581948155468,7.497412918817907,6,628,15
county_motor_vehicle_theft_rate,or,strict,-3,0.05164930129505074,4.469763587536934,6,628,15
county_motor_vehicle_theft_rate,or,strict,-2,-0.6764366012394667,4.14025293990717,6,628,15
county_motor_vehicle_theft_rate,or,strict,0,5.521857142805097,3.0989501909264576,6,628,15
county_motor_vehicle_theft_rate,or,strict,1,4.75720998335314,8.11212744165162,5,458,13
county_motor_vehicle_theft_rate,or,strict,2,-7.0198634784124225,17.77428419767916,4,444,12
county_motor_vehicle_theft_rate,or,strict,3,3.355548406640862,14.528459181045841,4,444,12
county_motor_vehicle_theft_rate,or,strict,4,16.768696597571783,8.077178560612403,4,444,12
county_motor_vehicle_theft_rate,or,strict,5,-15.1076389930924,26.28242478405369,3,423,10
county_motor_vehicle_theft_rate,ra,broad,-5,-9.539647903349934,3.729544102656092,6,627,15
county_motor_vehicle_theft_rate,ra,broad,-4,1.5794334863340806,4.800069325223866,6,627,15
county_motor_vehicle_theft_rate,ra,broad,-3,0.9947170368014775,2.3908587465937994,6,627,15
county_motor_vehicle_theft_rate,ra,broad,-2,-0.7419852466737096,2.2769994381818552,6,627,15
county_motor_vehicle_theft_rate,ra,broad,0,7.341738420030177,1.9482841035503056,6,627,15
county_motor_vehicle_theft_rate,ra,broad,1,9.126636007473394,4.135935545939475,5,457,13
county_motor_vehicle_theft_rate,ra,broad,2,0.1317235443838376,8.785379533674494,4,443,12
county_motor_vehicle_theft_rate,ra,broad,3,12.151928495211138,7.540929259326405,4,443,12
county_motor_vehicle_theft_rate,ra,broad,4,16.099786894479625,3.9997906360060798,4,443,12
county_motor_vehicle_theft_rate,ra,broad,5,-12.436878927835867,12.796891253073685,3,423,10
