outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
nonfirearm_suicide_rate,ra,broad,minimal,0.5570956723045506,0.07133771916343717,7.809272273314839,-0.11951215658626493,0.07850498836461654,-1.5223511152079985,20,16
nonfirearm_suicide_rate,ra,strict,expanded,0.8866865823970387,0.19486654932089975,4.550224681902037,0.23357882107128158,0.2790333593384349,0.8370999855539771,20,16
nonfirearm_suicide_rate,ra,strict,headline,1.1227860099032694,0.19794519015847695,5.6722065790250085,0.49199867925191304,0.2658650124164388,1.850558201623269,20,16
nonfirearm_suicide_rate,ra,strict,minimal,0.7283821321035858,0.09465539120545702,7.695093991240021,-0.1292723109650426,0.10160746204871003,-1.2722718229402306,20,16
total_suicide_rate,or,broad,all,-0.13394977477880493,0.1129525751101363,-1.1858939439689176,0.07318655602409257,0.20744111497557696,0.35280641464306234,20,16
total_suicide_rate,or,strict,all,-0.2037496982034081,0.11244645562340558,-1.8119708360198228,0.14792359823614384,0.20728568357194724,0.7136218753129698,20,16
total_suicide_rate,ra,broad,expanded,0.09494238200620612,0.16793165665567508,0.5653632191628691,-0.32904097911887836,0.3191467829578251,-1.0310020238003175,20,16
total_suicide_rate,ra,broad,headline,0.32450572859199,0.17505246723775178,1.853762667345069,-0.09296949358369583,0.3543316137098242,-0.2623799005973882,20,16
total_suicide_rate,ra,broad,minimal,0.6893820717990183,0.09559933713241947,7.211159538105588,-0.24792177601307652,0.17515415454819025,-1.4154490177671788,20,16
total_suicide_rate,ra,strict,expanded,1.4361116244819607,0.3219942623426054,4.460053461927599,0.6407884467586695,0.5804027716940311,1.1040409832785425,20,16
total_suicide_rate,ra,strict,headline,1.6663857309681616,0.3203830213656857,5.201229840036206,0.9724278484884821,0.5865701277947979,1.657820271455539,20,16
total_suicide_rate,ra,strict,minimal,0.6640104963130649,0.13830011976928558,4.801228642612729,-0.38473291195810755,0.21827878233880188,-1.762575857514834,20,16
